,IOC,Breeding Range,Order,Family,Indonesian
3049,Apaloderma aequatoriale,AF,TROGONIFORMES,Trogonidae,Bare-cheeked Trogon
3050,Apaloderma vittatum,AF,TROGONIFORMES,Trogonidae,Bar-tailed Trogon
3051,Apalharpactes reinwardtii,OR,TROGONIFORMES,Trogonidae,Luntur jawa
3052,Apalharpactes mackloti,OR,TROGONIFORMES,Trogonidae,Luntur sumatera
3053,Harpactes fasciatus,OR,TROGONIFORMES,Trogonidae,Malabar Trogon
3054,Harpactes kasumba,OR,TROGONIFORMES,Trogonidae,Luntur kasumba
3055,Harpactes diardii,OR,TROGONIFORMES,Trogonidae,Luntur diard
3056,Harpactes ardens,OR,TROGONIFORMES,Trogonidae,Philippine Trogon
3057,Harpactes whiteheadi,OR,TROGONIFORMES,Trogonidae,Luntur kalimantan
3058,Harpactes orrhophaeus,OR,TROGONIFORMES,Trogonidae,Luntur tunggir-coklat
3059,Harpactes duvaucelii,OR,TROGONIFORMES,Trogonidae,Luntur putri
3060,Harpactes oreskios,OR,TROGONIFORMES,Trogonidae,Luntur harimau
3061,Harpactes erythrocephalus,OR,TROGONIFORMES,Trogonidae,Luntur kepala-merah
3062,Harpactes wardi,OR,TROGONIFORMES,Trogonidae,Ward's Trogon
3063,Upupa epops,"PAL, OR",BUCEROTIFORMES,Upupidae,Hupo tunggal
3064,Upupa africana,AF,BUCEROTIFORMES,Upupidae,African Hoopoe
3065,Upupa marginata,AF,BUCEROTIFORMES,Upupidae,Madagascar Hoopoe
3066,Phoeniculus castaneiceps,AF,BUCEROTIFORMES,Phoeniculidae,Forest Wood Hoopoe
3067,Phoeniculus bollei,AF,BUCEROTIFORMES,Phoeniculidae,White-headed Wood Hoopoe
3068,Phoeniculus purpureus,AF,BUCEROTIFORMES,Phoeniculidae,Green Wood Hoopoe
3069,Phoeniculus somaliensis,AF,BUCEROTIFORMES,Phoeniculidae,Black-billed Wood Hoopoe
3070,Phoeniculus damarensis,AF,BUCEROTIFORMES,Phoeniculidae,Violet Wood Hoopoe
3071,Phoeniculus granti,AF,BUCEROTIFORMES,Phoeniculidae,Grant's Wood Hoopoe
3072,Rhinopomastus aterrimus,AF,BUCEROTIFORMES,Phoeniculidae,Black Scimitarbill
3073,Rhinopomastus cyanomelas,AF,BUCEROTIFORMES,Phoeniculidae,Common Scimitarbill
3074,Rhinopomastus minor,AF,BUCEROTIFORMES,Phoeniculidae,Abyssinian Scimitarbill
3075,Bucorvus abyssinicus,AF,BUCEROTIFORMES,Bucorvidae,Abyssinian Ground Hornbill
3076,Bucorvus leadbeateri,AF,BUCEROTIFORMES,Bucorvidae,Southern Ground Hornbill
3077,Tockus ruahae,AF,BUCEROTIFORMES,Bucerotidae,Tanzanian Red-billed Hornbill
3078,Tockus kempi,AF,BUCEROTIFORMES,Bucerotidae,Western Red-billed Hornbill
3079,Tockus damarensis,AF,BUCEROTIFORMES,Bucerotidae,Damara Red-billed Hornbill
3080,Tockus rufirostris,AF,BUCEROTIFORMES,Bucerotidae,Southern Red-billed Hornbill
3081,Tockus erythrorhynchus,AF,BUCEROTIFORMES,Bucerotidae,Northern Red-billed Hornbill
3082,Tockus monteiri,AF,BUCEROTIFORMES,Bucerotidae,Monteiro's Hornbill
3083,Tockus deckeni,AF,BUCEROTIFORMES,Bucerotidae,Von der Decken's Hornbill
3084,Tockus jacksoni,AF,BUCEROTIFORMES,Bucerotidae,Jackson's Hornbill
3085,Tockus leucomelas,AF,BUCEROTIFORMES,Bucerotidae,Southern Yellow-billed Hornbill
3086,Tockus flavirostris,AF,BUCEROTIFORMES,Bucerotidae,Eastern Yellow-billed Hornbill
3087,Lophoceros bradfieldi,AF,BUCEROTIFORMES,Bucerotidae,Bradfield's Hornbill
3088,Lophoceros alboterminatus,AF,BUCEROTIFORMES,Bucerotidae,Crowned Hornbill
3089,Lophoceros semifasciatus,AF,BUCEROTIFORMES,Bucerotidae,West African Pied Hornbill
3090,Lophoceros fasciatus,AF,BUCEROTIFORMES,Bucerotidae,Congo Pied Hornbill
3091,Lophoceros hemprichii,AF,BUCEROTIFORMES,Bucerotidae,Hemprich's Hornbill
3092,Lophoceros nasutus,AF,BUCEROTIFORMES,Bucerotidae,African Grey Hornbill
3093,Lophoceros camurus,AF,BUCEROTIFORMES,Bucerotidae,Red-billed Dwarf Hornbill
3094,Lophoceros pallidirostris,AF,BUCEROTIFORMES,Bucerotidae,Pale-billed Hornbill
3095,Bycanistes fistulator,AF,BUCEROTIFORMES,Bucerotidae,Piping Hornbill
3096,Bycanistes bucinator,AF,BUCEROTIFORMES,Bucerotidae,Trumpeter Hornbill
3097,Bycanistes cylindricus,AF,BUCEROTIFORMES,Bucerotidae,Brown-cheeked Hornbill
3098,Bycanistes albotibialis,AF,BUCEROTIFORMES,Bucerotidae,White-thighed Hornbill
3099,Bycanistes subcylindricus,AF,BUCEROTIFORMES,Bucerotidae,Black-and-white-casqued Hornbill
3100,Bycanistes brevis,AF,BUCEROTIFORMES,Bucerotidae,Silvery-cheeked Hornbill
3101,Ceratogymna atrata,AF,BUCEROTIFORMES,Bucerotidae,Black-casqued Hornbill
3102,Ceratogymna elata,AF,BUCEROTIFORMES,Bucerotidae,Yellow-casqued Hornbill
3103,Horizocerus hartlaubi,AF,BUCEROTIFORMES,Bucerotidae,Black Dwarf Hornbill
3104,Horizocerus albocristatus,AF,BUCEROTIFORMES,Bucerotidae,White-crested Hornbill
3105,Berenicornis comatus,OR,BUCEROTIFORMES,Bucerotidae,Enggang jambul
3106,Buceros rhinoceros,OR,BUCEROTIFORMES,Bucerotidae,Enggang cula
3107,Buceros bicornis,OR,BUCEROTIFORMES,Bucerotidae,Enggang papan
3108,Buceros hydrocorax,OR,BUCEROTIFORMES,Bucerotidae,Rufous Hornbill
3109,Rhinoplax vigil,OR,BUCEROTIFORMES,Bucerotidae,Rangkong gading
3110,Anthracoceros marchei,OR,BUCEROTIFORMES,Bucerotidae,Palawan Hornbill
3111,Anthracoceros albirostris,OR,BUCEROTIFORMES,Bucerotidae,Kangkareng perut-putih
3112,Anthracoceros coronatus,OR,BUCEROTIFORMES,Bucerotidae,Malabar Pied Hornbill
3113,Anthracoceros montani,OR,BUCEROTIFORMES,Bucerotidae,Sulu Hornbill
3114,Anthracoceros malayanus,OR,BUCEROTIFORMES,Bucerotidae,Kangkareng hitam
3115,Ocyceros griseus,OR,BUCEROTIFORMES,Bucerotidae,Malabar Grey Hornbill
3116,Ocyceros gingalensis,OR,BUCEROTIFORMES,Bucerotidae,Sri Lanka Grey Hornbill
3117,Ocyceros birostris,OR,BUCEROTIFORMES,Bucerotidae,Indian Grey Hornbill
3118,Anorrhinus tickelli,OR,BUCEROTIFORMES,Bucerotidae,Tickell's Brown Hornbill
3119,Anorrhinus austeni,OR,BUCEROTIFORMES,Bucerotidae,Austen's Brown Hornbill
3120,Anorrhinus galeritus,OR,BUCEROTIFORMES,Bucerotidae,Enggang klihingan
3121,Aceros nipalensis,OR,BUCEROTIFORMES,Bucerotidae,Rufous-necked Hornbill
3122,Rhyticeros plicatus,AU,BUCEROTIFORMES,Bucerotidae,Julang irian
3123,Rhyticeros narcondami,OR,BUCEROTIFORMES,Bucerotidae,Narcondam Hornbill
3124,Rhyticeros undulatus,OR,BUCEROTIFORMES,Bucerotidae,Julang emas
3125,Rhyticeros everetti,AU,BUCEROTIFORMES,Bucerotidae,Julang sumba
3126,Rhyticeros subruficollis,OR,BUCEROTIFORMES,Bucerotidae,Julang dompet
3127,Rhyticeros cassidix,AU,BUCEROTIFORMES,Bucerotidae,Julang sulawesi
3128,Rhabdotorrhinus waldeni,OR,BUCEROTIFORMES,Bucerotidae,Walden's Hornbill
3129,Rhabdotorrhinus leucocephalus,OR,BUCEROTIFORMES,Bucerotidae,Writhed Hornbill
3130,Rhabdotorrhinus exarhatus,AU,BUCEROTIFORMES,Bucerotidae,Kangkareng sulawesi
3131,Rhabdotorrhinus corrugatus,OR,BUCEROTIFORMES,Bucerotidae,Julang jambul hitam
3132,Penelopides manillae,OR,BUCEROTIFORMES,Bucerotidae,Luzon Hornbill
3133,Penelopides mindorensis,OR,BUCEROTIFORMES,Bucerotidae,Mindoro Hornbill
3134,Penelopides affinis,OR,BUCEROTIFORMES,Bucerotidae,Mindanao Hornbill
3135,Penelopides samarensis,OR,BUCEROTIFORMES,Bucerotidae,Samar Hornbill
3136,Penelopides panini,OR,BUCEROTIFORMES,Bucerotidae,Visayan Hornbill
3137,Coracias naevius,AF,CORACIIFORMES,Coraciidae,Purple Roller
3138,Coracias benghalensis,PAL,CORACIIFORMES,Coraciidae,Indian Roller
3139,Coracias affinis,OR,CORACIIFORMES,Coraciidae,Indochinese Roller
3140,Coracias temminckii,AU,CORACIIFORMES,Coraciidae,Tiong-lampu sulawesi
3141,Coracias spatulatus,AF,CORACIIFORMES,Coraciidae,Racket-tailed Roller
3142,Coracias caudatus,AF,CORACIIFORMES,Coraciidae,Lilac-breasted Roller
3143,Coracias abyssinicus,AF,CORACIIFORMES,Coraciidae,Abyssinian Roller
3144,Coracias garrulus,PAL,CORACIIFORMES,Coraciidae,European Roller
3145,Coracias cyanogaster,AF,CORACIIFORMES,Coraciidae,Blue-bellied Roller
3146,Eurystomus gularis,AF,CORACIIFORMES,Coraciidae,Blue-throated Roller
3147,Eurystomus glaucurus,AF,CORACIIFORMES,Coraciidae,Broad-billed Roller
3148,Eurystomus orientalis,"PAL, OR, AU",CORACIIFORMES,Coraciidae,Tiong-lampu biasa
3149,Eurystomus azureus,AU,CORACIIFORMES,Coraciidae,Tiong-lampu ungu
3150,Brachypteracias leptosomus,AF,CORACIIFORMES,Brachypteraciidae,Short-legged Ground Roller
3151,Geobiastes squamiger,AF,CORACIIFORMES,Brachypteraciidae,Scaly Ground Roller
3152,Atelornis pittoides,AF,CORACIIFORMES,Brachypteraciidae,Pitta-like Ground Roller
3153,Atelornis crossleyi,AF,CORACIIFORMES,Brachypteraciidae,Rufous-headed Ground Roller
3154,Uratelornis chimaera,AF,CORACIIFORMES,Brachypteraciidae,Long-tailed Ground Roller
3155,Actenoides monachus,AU,CORACIIFORMES,Alcedinidae,Cekakak-hutan tunggir-hijau
3156,Actenoides princeps,AU,CORACIIFORMES,Alcedinidae,Cekakak-hutan dada-sisik
3157,Actenoides bougainvillei,AU,CORACIIFORMES,Alcedinidae,Moustached Kingfisher
3158,Actenoides lindsayi,OR,CORACIIFORMES,Alcedinidae,Spotted Wood Kingfisher
3159,Actenoides hombroni,OR,CORACIIFORMES,Alcedinidae,Hombron's Kingfisher
3160,Actenoides concretus,OR,CORACIIFORMES,Alcedinidae,Cekakak-hutan melayu
3161,Melidora macrorrhina,AU,CORACIIFORMES,Alcedinidae,Raja-udang paruh-kait
3162,Lacedo pulchella,OR,CORACIIFORMES,Alcedinidae,Cekakak batu
3163,Tanysiptera galatea,AU,CORACIIFORMES,Alcedinidae,Cekakak-pita biasa
3164,Tanysiptera ellioti,AU,CORACIIFORMES,Alcedinidae,Cekakak-pita kofiau
3165,Tanysiptera riedelii,AU,CORACIIFORMES,Alcedinidae,Cekakak-pita biak
3166,Tanysiptera carolinae,AU,CORACIIFORMES,Alcedinidae,Cekakak-pita numfor
3167,Tanysiptera hydrocharis,AU,CORACIIFORMES,Alcedinidae,Cekakak-pita kecil
3168,Tanysiptera sylvia,AU,CORACIIFORMES,Alcedinidae,Cekakak-pita dada-jingga
3169,Tanysiptera nigriceps,AU,CORACIIFORMES,Alcedinidae,Black-capped Paradise Kingfisher
3170,Tanysiptera nympha,AU,CORACIIFORMES,Alcedinidae,Cekakak-pita bidadari
3171,Tanysiptera danae,AU,CORACIIFORMES,Alcedinidae,Brown-headed Paradise Kingfisher
3172,Cittura cyanotis,AU,CORACIIFORMES,Alcedinidae,Raja-udang pipi-ungu
3173,Cittura sanghirensis,AU,CORACIIFORMES,Alcedinidae,Sangihe Lilac Kingfisher
3174,Dacelo rex,AU,CORACIIFORMES,Alcedinidae,Raja-udang paruh-sekop
3175,Dacelo tyro,AU,CORACIIFORMES,Alcedinidae,Kukabura aru
3176,Dacelo gaudichaud,AU,CORACIIFORMES,Alcedinidae,Kukabura perut-merah
3177,Dacelo novaeguineae,AU,CORACIIFORMES,Alcedinidae,Laughing Kookaburra
3178,Dacelo leachii,AU,CORACIIFORMES,Alcedinidae,Kukabura sayap-biru
3179,Caridonax fulgidus,AU,CORACIIFORMES,Alcedinidae,Cekakak tunggir-putih
3180,Pelargopsis capensis,OR,CORACIIFORMES,Alcedinidae,Pekaka emas
3181,Pelargopsis melanorhyncha,AU,CORACIIFORMES,Alcedinidae,Pekaka bua-bua
3182,Pelargopsis amauroptera,OR,CORACIIFORMES,Alcedinidae,Brown-winged Kingfisher
3183,Halcyon coromanda,"OR, AU",CORACIIFORMES,Alcedinidae,Cekakak merah
3184,Halcyon smyrnensis,OR,CORACIIFORMES,Alcedinidae,Cekakak belukar
3185,Halcyon gularis,OR,CORACIIFORMES,Alcedinidae,Brown-breasted Kingfisher
3186,Halcyon cyanoventris,OR,CORACIIFORMES,Alcedinidae,Cekakak jawa
3187,Halcyon badia,AF,CORACIIFORMES,Alcedinidae,Chocolate-backed Kingfisher
3188,Halcyon pileata,OR,CORACIIFORMES,Alcedinidae,Cekakak cina
3189,Halcyon leucocephala,AF,CORACIIFORMES,Alcedinidae,Grey-headed Kingfisher
3190,Halcyon albiventris,AF,CORACIIFORMES,Alcedinidae,Brown-hooded Kingfisher
3191,Halcyon chelicuti,AF,CORACIIFORMES,Alcedinidae,Striped Kingfisher
3192,Halcyon malimbica,AF,CORACIIFORMES,Alcedinidae,Blue-breasted Kingfisher
3193,Halcyon senegalensis,AF,CORACIIFORMES,Alcedinidae,Woodland Kingfisher
3194,Halcyon senegaloides,AF,CORACIIFORMES,Alcedinidae,Mangrove Kingfisher
3195,Todiramphus nigrocyaneus,AU,CORACIIFORMES,Alcedinidae,Cekakak biru-hitam
3196,Todiramphus winchelli,OR,CORACIIFORMES,Alcedinidae,Winchell's Kingfisher
3197,Todiramphus diops,AU,CORACIIFORMES,Alcedinidae,Cekakak biru-putih
3198,Todiramphus lazuli,AU,CORACIIFORMES,Alcedinidae,Cekakak lazuli
3199,Todiramphus macleayii,AU,CORACIIFORMES,Alcedinidae,Cekakak rimba
3200,Todiramphus albonotatus,AU,CORACIIFORMES,Alcedinidae,White-mantled Kingfisher
3201,Todiramphus leucopygius,AU,CORACIIFORMES,Alcedinidae,Ultramarine Kingfisher
3202,Todiramphus farquhari,AU,CORACIIFORMES,Alcedinidae,Vanuatu Kingfisher
3203,Todiramphus funebris,AU,CORACIIFORMES,Alcedinidae,Cekakak murung
3204,Todiramphus chloris,"OR, AU",CORACIIFORMES,Alcedinidae,Cekakak sungai
3205,Todiramphus sordidus,AU,CORACIIFORMES,Alcedinidae,Torresian Kingfisher
3206,Todiramphus colonus,AU,CORACIIFORMES,Alcedinidae,Islet Kingfisher
3207,Todiramphus albicilla,PO,CORACIIFORMES,Alcedinidae,Mariana Kingfisher
3208,Todiramphus tristrami,AU,CORACIIFORMES,Alcedinidae,Melanesian Kingfisher
3209,Todiramphus sacer,"AU, PO",CORACIIFORMES,Alcedinidae,Pacific Kingfisher
3210,Todiramphus enigma,AU,CORACIIFORMES,Alcedinidae,Cekakak talaud
3211,Todiramphus cinnamominus,PO,CORACIIFORMES,Alcedinidae,Guam Kingfisher
3212,Todiramphus pelewensis,PO,CORACIIFORMES,Alcedinidae,Rusty-capped Kingfisher
3213,Todiramphus reichenbachii,PO,CORACIIFORMES,Alcedinidae,Pohnpei Kingfisher
3214,Todiramphus saurophagus,AU,CORACIIFORMES,Alcedinidae,Cekakak pantai
3215,Todiramphus sanctus,"OR, AU",CORACIIFORMES,Alcedinidae,Cekakak australia
3216,Todiramphus recurvirostris,PO,CORACIIFORMES,Alcedinidae,Flat-billed Kingfisher
3217,Todiramphus australasia,AU,CORACIIFORMES,Alcedinidae,Cekakak kalung-coklat
3218,Todiramphus tutus,PO,CORACIIFORMES,Alcedinidae,Chattering Kingfisher
3219,Todiramphus ruficollaris,PO,CORACIIFORMES,Alcedinidae,Mewing Kingfisher
3220,Todiramphus veneratus,PO,CORACIIFORMES,Alcedinidae,Society Kingfisher
3221,Todiramphus gertrudae,PO,CORACIIFORMES,Alcedinidae,Niau Kingfisher
3222,Todiramphus godeffroyi,PO,CORACIIFORMES,Alcedinidae,Marquesan Kingfisher
3223,Todiramphus pyrrhopygius,AU,CORACIIFORMES,Alcedinidae,Red-backed Kingfisher
3224,Syma torotoro,AU,CORACIIFORMES,Alcedinidae,Cekakak torotoro
3225,Syma megarhyncha,AU,CORACIIFORMES,Alcedinidae,Cekakak gunung
3226,Ispidina lecontei,AF,CORACIIFORMES,Alcedinidae,African Dwarf Kingfisher
3227,Ispidina picta,AF,CORACIIFORMES,Alcedinidae,African Pygmy Kingfisher
3228,Corythornis madagascariensis,AF,CORACIIFORMES,Alcedinidae,Madagascar Pygmy Kingfisher
3229,Corythornis leucogaster,AF,CORACIIFORMES,Alcedinidae,White-bellied Kingfisher
3230,Corythornis cristatus,AF,CORACIIFORMES,Alcedinidae,Malachite Kingfisher
3231,Corythornis vintsioides,AF,CORACIIFORMES,Alcedinidae,Malagasy Kingfisher
3232,Alcedo coerulescens,"OR, AU",CORACIIFORMES,Alcedinidae,Raja-udang biru
3233,Alcedo peninsulae,OR,CORACIIFORMES,Alcedinidae,Malaysian Blue-banded Kingfisher
3234,Alcedo euryzona,OR,CORACIIFORMES,Alcedinidae,Raja-udang kalung-biru
3235,Alcedo quadribrachys,AF,CORACIIFORMES,Alcedinidae,Shining-blue Kingfisher
3236,Alcedo meninting,"OR, AU",CORACIIFORMES,Alcedinidae,Raja-udang meninting
3237,Alcedo atthis,"PAL, OR, AU",CORACIIFORMES,Alcedinidae,Raja-udang erasia
3238,Alcedo semitorquata,AF,CORACIIFORMES,Alcedinidae,Half-collared Kingfisher
3239,Alcedo hercules,OR,CORACIIFORMES,Alcedinidae,Blyth's Kingfisher
3240,Ceyx erithaca,OR,CORACIIFORMES,Alcedinidae,Udang api
3241,Ceyx melanurus,OR,CORACIIFORMES,Alcedinidae,Philippine Dwarf Kingfisher
3242,Ceyx sangirensis,AU,CORACIIFORMES,Alcedinidae,Sangihe Dwarf Kingfisher
3243,Ceyx fallax,AU,CORACIIFORMES,Alcedinidae,Udang-merah sulawesi
3244,Ceyx lepidus,AU,CORACIIFORMES,Alcedinidae,Udang-merah kerdil
3245,Ceyx margarethae,OR,CORACIIFORMES,Alcedinidae,Dimorphic Dwarf Kingfisher
3246,Ceyx wallacii,AU,CORACIIFORMES,Alcedinidae,Sula Dwarf Kingfisher
3247,Ceyx cajeli,AU,CORACIIFORMES,Alcedinidae,Buru Dwarf Kingfisher
3248,Ceyx solitarius,AU,CORACIIFORMES,Alcedinidae,Papuan Dwarf Kingfisher
3249,Ceyx dispar,AU,CORACIIFORMES,Alcedinidae,Manus Dwarf Kingfisher
3250,Ceyx mulcatus,AU,CORACIIFORMES,Alcedinidae,New Ireland Dwarf Kingfisher
3251,Ceyx sacerdotis,AU,CORACIIFORMES,Alcedinidae,New Britain Dwarf Kingfisher
3252,Ceyx meeki,AU,CORACIIFORMES,Alcedinidae,North Solomons Dwarf Kingfisher
3253,Ceyx collectoris,AU,CORACIIFORMES,Alcedinidae,New Georgia Dwarf Kingfisher
3254,Ceyx nigromaxilla,AU,CORACIIFORMES,Alcedinidae,Guadalcanal Dwarf Kingfisher
3255,Ceyx gentianus,AU,CORACIIFORMES,Alcedinidae,Makira Dwarf Kingfisher
3256,Ceyx cyanopectus,OR,CORACIIFORMES,Alcedinidae,Indigo-banded Kingfisher
3257,Ceyx argentatus,OR,CORACIIFORMES,Alcedinidae,Southern Silvery Kingfisher
3258,Ceyx flumenicola,OR,CORACIIFORMES,Alcedinidae,Northern Silvery Kingfisher
3259,Ceyx azureus,AU,CORACIIFORMES,Alcedinidae,Raja-udang biru-langit
3260,Ceyx websteri,AU,CORACIIFORMES,Alcedinidae,Bismarck Kingfisher
3261,Ceyx pusillus,AU,CORACIIFORMES,Alcedinidae,Raja-udang kecil
3262,Chloroceryle amazona,"MA, SA",CORACIIFORMES,Alcedinidae,Amazon Kingfisher
3263,Chloroceryle aenea,"MA, SA",CORACIIFORMES,Alcedinidae,American Pygmy Kingfisher
3264,Chloroceryle americana,"NA, MA, SA",CORACIIFORMES,Alcedinidae,Green Kingfisher
3265,Chloroceryle inda,"MA, SA",CORACIIFORMES,Alcedinidae,Green-and-rufous Kingfisher
3266,Megaceryle lugubris,"OR, PAL",CORACIIFORMES,Alcedinidae,Crested Kingfisher
3267,Megaceryle maxima,AF,CORACIIFORMES,Alcedinidae,Giant Kingfisher
3268,Megaceryle torquata,"NA, MA, SA",CORACIIFORMES,Alcedinidae,Ringed Kingfisher
3269,Ceryle rudis,"AF, OR",CORACIIFORMES,Alcedinidae,Pied Kingfisher
3270,Hylomanes momotula,"MA, SA",CORACIIFORMES,Momotidae,Tody Motmot
3271,Aspatha gularis,MA,CORACIIFORMES,Momotidae,Blue-throated Motmot
3272,Momotus mexicanus,MA,CORACIIFORMES,Momotidae,Russet-crowned Motmot
3273,Momotus coeruliceps,MA,CORACIIFORMES,Momotidae,Blue-capped Motmot
3274,Momotus lessonii,MA,CORACIIFORMES,Momotidae,Lesson's Motmot
3275,Momotus subrufescens,"MA, SA",CORACIIFORMES,Momotidae,Whooping Motmot
3276,Momotus bahamensis,SA,CORACIIFORMES,Momotidae,Trinidad Motmot
3277,Momotus momota,SA,CORACIIFORMES,Momotidae,Amazonian Motmot
3278,Momotus aequatorialis,SA,CORACIIFORMES,Momotidae,Andean Motmot
3279,Baryphthengus martii,"MA, SA",CORACIIFORMES,Momotidae,Rufous Motmot
3280,Baryphthengus ruficapillus,SA,CORACIIFORMES,Momotidae,Rufous-capped Motmot
3281,Electron carinatum,MA,CORACIIFORMES,Momotidae,Keel-billed Motmot
3282,Electron platyrhynchum,"MA, SA",CORACIIFORMES,Momotidae,Broad-billed Motmot
3283,Eumomota superciliosa,MA,CORACIIFORMES,Momotidae,Turquoise-browed Motmot
3284,Nyctyornis amictus,OR,CORACIIFORMES,Meropidae,Cirik-cirik kumbang
3285,Nyctyornis athertoni,OR,CORACIIFORMES,Meropidae,Blue-bearded Bee-eater
3286,Meropogon forsteni,AU,CORACIIFORMES,Meropidae,Cirik-cirik sulawesi
3287,Merops breweri,AF,CORACIIFORMES,Meropidae,Black-headed Bee-eater
3288,Merops muelleri,AF,CORACIIFORMES,Meropidae,Blue-headed Bee-eater
3289,Merops mentalis,AF,CORACIIFORMES,Meropidae,Blue-moustached Bee-eater
3290,Merops gularis,AF,CORACIIFORMES,Meropidae,Black Bee-eater
3291,Merops hirundineus,AF,CORACIIFORMES,Meropidae,Swallow-tailed Bee-eater
3292,Merops pusillus,AF,CORACIIFORMES,Meropidae,Little Bee-eater
3293,Merops variegatus,AF,CORACIIFORMES,Meropidae,Blue-breasted Bee-eater
3294,Merops lafresnayii,AF,CORACIIFORMES,Meropidae,Ethiopian Bee-eater
3295,Merops oreobates,AF,CORACIIFORMES,Meropidae,Cinnamon-chested Bee-eater
3296,Merops bulocki,AF,CORACIIFORMES,Meropidae,Red-throated Bee-eater
3297,Merops bullockoides,AF,CORACIIFORMES,Meropidae,White-fronted Bee-eater
3298,Merops revoilii,AF,CORACIIFORMES,Meropidae,Somali Bee-eater
3299,Merops albicollis,AF,CORACIIFORMES,Meropidae,White-throated Bee-eater
3300,Merops boehmi,AF,CORACIIFORMES,Meropidae,Böhm's Bee-eater
3301,Merops viridissimus,AF,CORACIIFORMES,Meropidae,African Green Bee-eater
3302,Merops cyanophrys,PAL,CORACIIFORMES,Meropidae,Arabian Green Bee-eater
3303,Merops orientalis,"PAL, OR",CORACIIFORMES,Meropidae,Asian Green Bee-eater
3304,Merops persicus,PAL,CORACIIFORMES,Meropidae,Blue-cheeked Bee-eater
3305,Merops superciliosus,AF,CORACIIFORMES,Meropidae,Olive Bee-eater
3306,Merops philippinus,"OR, AU",CORACIIFORMES,Meropidae,Kirik-kirik laut
3307,Merops ornatus,AU,CORACIIFORMES,Meropidae,Kirik-kirik australia
3308,Merops viridis,OR,CORACIIFORMES,Meropidae,Kirik-kirik biru
3309,Merops americanus,OR,CORACIIFORMES,Meropidae,Rufous-crowned Bee-eater
3310,Merops leschenaulti,OR,CORACIIFORMES,Meropidae,Kirik-kirik senja
3311,Merops apiaster,"PAL, AF",CORACIIFORMES,Meropidae,European Bee-eater
3312,Merops malimbicus,AF,CORACIIFORMES,Meropidae,Rosy Bee-eater
3313,Merops nubicus,AF,CORACIIFORMES,Meropidae,Northern Carmine Bee-eater
3314,Merops nubicoides,AF,CORACIIFORMES,Meropidae,Southern Carmine Bee-eater
3315,Galbalcyrhynchus leucotis,SA,PICIFORMES,Galbulidae,White-eared Jacamar
3316,Galbalcyrhynchus purusianus,SA,PICIFORMES,Galbulidae,Purus Jacamar
3317,Brachygalba salmoni,"MA, SA",PICIFORMES,Galbulidae,Dusky-backed Jacamar
3318,Brachygalba goeringi,SA,PICIFORMES,Galbulidae,Pale-headed Jacamar
3319,Brachygalba lugubris,SA,PICIFORMES,Galbulidae,Brown Jacamar
3320,Brachygalba albogularis,SA,PICIFORMES,Galbulidae,White-throated Jacamar
3321,Jacamaralcyon tridactyla,SA,PICIFORMES,Galbulidae,Three-toed Jacamar
3322,Galbula albirostris,SA,PICIFORMES,Galbulidae,Yellow-billed Jacamar
3323,Galbula cyanicollis,SA,PICIFORMES,Galbulidae,Blue-necked Jacamar
3324,Galbula ruficauda,"MA, SA",PICIFORMES,Galbulidae,Rufous-tailed Jacamar
3325,Galbula galbula,SA,PICIFORMES,Galbulidae,Green-tailed Jacamar
3326,Galbula pastazae,SA,PICIFORMES,Galbulidae,Coppery-chested Jacamar
3327,Galbula tombacea,SA,PICIFORMES,Galbulidae,White-chinned Jacamar
3328,Galbula cyanescens,SA,PICIFORMES,Galbulidae,Bluish-fronted Jacamar
3329,Galbula chalcothorax,SA,PICIFORMES,Galbulidae,Purplish Jacamar
3330,Galbula leucogastra,SA,PICIFORMES,Galbulidae,Bronzy Jacamar
3331,Galbula dea,SA,PICIFORMES,Galbulidae,Paradise Jacamar
3332,Jacamerops aureus,"MA, SA",PICIFORMES,Galbulidae,Great Jacamar
3333,Notharchus hyperrhynchus,"MA, SA",PICIFORMES,Bucconidae,White-necked Puffbird
3334,Notharchus macrorhynchos,SA,PICIFORMES,Bucconidae,Guianan Puffbird
3335,Notharchus swainsoni,SA,PICIFORMES,Bucconidae,Buff-bellied Puffbird
3336,Notharchus pectoralis,"MA, SA",PICIFORMES,Bucconidae,Black-breasted Puffbird
3337,Notharchus ordii,SA,PICIFORMES,Bucconidae,Brown-banded Puffbird
3338,Notharchus tectus,"MA, SA",PICIFORMES,Bucconidae,Pied Puffbird
3339,Bucco macrodactylus,SA,PICIFORMES,Bucconidae,Chestnut-capped Puffbird
3340,Bucco tamatia,SA,PICIFORMES,Bucconidae,Spotted Puffbird
3341,Bucco noanamae,SA,PICIFORMES,Bucconidae,Sooty-capped Puffbird
3342,Bucco capensis,SA,PICIFORMES,Bucconidae,Collared Puffbird
3343,Nystalus radiatus,"MA, SA",PICIFORMES,Bucconidae,Barred Puffbird
3344,Nystalus chacuru,SA,PICIFORMES,Bucconidae,White-eared Puffbird
3345,Nystalus striolatus,SA,PICIFORMES,Bucconidae,Eastern Striolated Puffbird
3346,Nystalus obamai,SA,PICIFORMES,Bucconidae,Western Striolated Puffbird
3347,Nystalus maculatus,SA,PICIFORMES,Bucconidae,Caatinga Puffbird
3348,Nystalus striatipectus,SA,PICIFORMES,Bucconidae,Chaco Puffbird
