,IOC,Breeding Range,Order,Family,Norwegian
3126,Rhyticeros subruficollis,OR,BUCEROTIFORMES,Bucerotidae,gulpunghornfugl
3127,Rhyticeros cassidix,AU,BUCEROTIFORMES,Bucerotidae,knopphornfugl
3128,Rhabdotorrhinus waldeni,OR,BUCEROTIFORMES,Bucerotidae,negroshornfugl
3129,Rhabdotorrhinus leucocephalus,OR,BUCEROTIFORMES,Bucerotidae,brunkronehornfugl
3130,Rhabdotorrhinus exarhatus,AU,BUCEROTIFORMES,Bucerotidae,sulawesihornfugl
3131,Rhabdotorrhinus corrugatus,OR,BUCEROTIFORMES,Bucerotidae,rynkehornfugl
3132,Penelopides manillae,OR,BUCEROTIFORMES,Bucerotidae,luzonhornfugl
3133,Penelopides mindorensis,OR,BUCEROTIFORMES,Bucerotidae,mindorohornfugl
3134,Penelopides affinis,OR,BUCEROTIFORMES,Bucerotidae,mindanaohornfugl
3135,Penelopides samarensis,OR,BUCEROTIFORMES,Bucerotidae,samarhornfugl
3136,Penelopides panini,OR,BUCEROTIFORMES,Bucerotidae,visayhornfugl
3137,Coracias naevius,AF,CORACIIFORMES,Coraciidae,striperåke
3138,Coracias benghalensis,PAL,CORACIIFORMES,Coraciidae,bengalråke
3139,Coracias affinis,OR,CORACIIFORMES,Coraciidae,indokinaråke
3140,Coracias temminckii,AU,CORACIIFORMES,Coraciidae,sulawesiråke
3141,Coracias spatulatus,AF,CORACIIFORMES,Coraciidae,vimpelråke
3142,Coracias caudatus,AF,CORACIIFORMES,Coraciidae,savanneråke
3143,Coracias abyssinicus,AF,CORACIIFORMES,Coraciidae,sahelråke
3144,Coracias garrulus,PAL,CORACIIFORMES,Coraciidae,blåråke
3145,Coracias cyanogaster,AF,CORACIIFORMES,Coraciidae,hvithoderåke
3146,Eurystomus gularis,AF,CORACIIFORMES,Coraciidae,blåstruperåke
3147,Eurystomus glaucurus,AF,CORACIIFORMES,Coraciidae,brednebbråke
3148,Eurystomus orientalis,"PAL, OR, AU",CORACIIFORMES,Coraciidae,orientråke
3149,Eurystomus azureus,AU,CORACIIFORMES,Coraciidae,molukkråke
3150,Brachypteracias leptosomus,AF,CORACIIFORMES,Brachypteraciidae,tykknebbmarkråke
3151,Geobiastes squamiger,AF,CORACIIFORMES,Brachypteraciidae,skjellmarkråke
3152,Atelornis pittoides,AF,CORACIIFORMES,Brachypteraciidae,pittamarkråke
3153,Atelornis crossleyi,AF,CORACIIFORMES,Brachypteraciidae,rustmarkråke
3154,Uratelornis chimaera,AF,CORACIIFORMES,Brachypteraciidae,langhalemarkråke
3155,Actenoides monachus,AU,CORACIIFORMES,Alcedinidae,munkeisfugl
3156,Actenoides princeps,AU,CORACIIFORMES,Alcedinidae,blåhodeisfugl
3157,Actenoides bougainvillei,AU,CORACIIFORMES,Alcedinidae,mustasjeisfugl
3158,Actenoides lindsayi,OR,CORACIIFORMES,Alcedinidae,dråpeisfugl
3159,Actenoides hombroni,OR,CORACIIFORMES,Alcedinidae,mindanaoisfugl
3160,Actenoides concretus,OR,CORACIIFORMES,Alcedinidae,skjeggisfugl
3161,Melidora macrorrhina,AU,CORACIIFORMES,Alcedinidae,kroknebbisfugl
3162,Lacedo pulchella,OR,CORACIIFORMES,Alcedinidae,blåhettekokaburra
3163,Tanysiptera galatea,AU,CORACIIFORMES,Alcedinidae,galateaisfugl
3164,Tanysiptera ellioti,AU,CORACIIFORMES,Alcedinidae,kofiauisfugl
3165,Tanysiptera riedelii,AU,CORACIIFORMES,Alcedinidae,biakisfugl
3166,Tanysiptera carolinae,AU,CORACIIFORMES,Alcedinidae,numforisfugl
3167,Tanysiptera hydrocharis,AU,CORACIIFORMES,Alcedinidae,aruisfugl
3168,Tanysiptera sylvia,AU,CORACIIFORMES,Alcedinidae,trådstjertisfugl
3169,Tanysiptera nigriceps,AU,CORACIIFORMES,Alcedinidae,svarthodeisfugl
3170,Tanysiptera nympha,AU,CORACIIFORMES,Alcedinidae,nymfeisfugl
3171,Tanysiptera danae,AU,CORACIIFORMES,Alcedinidae,brunisfugl
3172,Cittura cyanotis,AU,CORACIIFORMES,Alcedinidae,harlekinisfugl
3173,Cittura sanghirensis,AU,CORACIIFORMES,Alcedinidae,Sangihe Lilac Kingfisher
3174,Dacelo rex,AU,CORACIIFORMES,Alcedinidae,plogkokaburra
3175,Dacelo tyro,AU,CORACIIFORMES,Alcedinidae,fregnekokaburra
3176,Dacelo gaudichaud,AU,CORACIIFORMES,Alcedinidae,hvitnebbkokaburra
3177,Dacelo novaeguineae,AU,CORACIIFORMES,Alcedinidae,latterkokaburra
3178,Dacelo leachii,AU,CORACIIFORMES,Alcedinidae,larmekokaburra
3179,Caridonax fulgidus,AU,CORACIIFORMES,Alcedinidae,sundaisfugl
3180,Pelargopsis capensis,OR,CORACIIFORMES,Alcedinidae,storkenebbisfugl
3181,Pelargopsis melanorhyncha,AU,CORACIIFORMES,Alcedinidae,sotvingeisfugl
3182,Pelargopsis amauroptera,OR,CORACIIFORMES,Alcedinidae,brunvingeisfugl
3183,Halcyon coromanda,"OR, AU",CORACIIFORMES,Alcedinidae,flammeisfugl
3184,Halcyon smyrnensis,OR,CORACIIFORMES,Alcedinidae,kastanjeisfugl
3185,Halcyon gularis,OR,CORACIIFORMES,Alcedinidae,brunbrystisfugl
3186,Halcyon cyanoventris,OR,CORACIIFORMES,Alcedinidae,javaisfugl
3187,Halcyon badia,AF,CORACIIFORMES,Alcedinidae,kakaoisfugl
3188,Halcyon pileata,OR,CORACIIFORMES,Alcedinidae,svarthetteisfugl
3189,Halcyon leucocephala,AF,CORACIIFORMES,Alcedinidae,gråhodeisfugl
3190,Halcyon albiventris,AF,CORACIIFORMES,Alcedinidae,brunhodeisfugl
3191,Halcyon chelicuti,AF,CORACIIFORMES,Alcedinidae,savanneisfugl
3192,Halcyon malimbica,AF,CORACIIFORMES,Alcedinidae,blåbrystisfugl
3193,Halcyon senegalensis,AF,CORACIIFORMES,Alcedinidae,lundisfugl
3194,Halcyon senegaloides,AF,CORACIIFORMES,Alcedinidae,mangroveisfugl
3195,Todiramphus nigrocyaneus,AU,CORACIIFORMES,Alcedinidae,papuaisfugl
3196,Todiramphus winchelli,OR,CORACIIFORMES,Alcedinidae,halsbåndisfugl
3197,Todiramphus diops,AU,CORACIIFORMES,Alcedinidae,molukkisfugl
3198,Todiramphus lazuli,AU,CORACIIFORMES,Alcedinidae,lazuliisfugl
3199,Todiramphus macleayii,AU,CORACIIFORMES,Alcedinidae,skogisfugl
3200,Todiramphus albonotatus,AU,CORACIIFORMES,Alcedinidae,hvitryggisfugl
3201,Todiramphus leucopygius,AU,CORACIIFORMES,Alcedinidae,salomonisfugl
3202,Todiramphus farquhari,AU,CORACIIFORMES,Alcedinidae,vanuatuisfugl
3203,Todiramphus funebris,AU,CORACIIFORMES,Alcedinidae,sørgeisfugl
3204,Todiramphus chloris,"OR, AU",CORACIIFORMES,Alcedinidae,jadeisfugl
3205,Todiramphus sordidus,AU,CORACIIFORMES,Alcedinidae,nefrittisfugl
3206,Todiramphus colonus,AU,CORACIIFORMES,Alcedinidae,louisiadeisfugl
3207,Todiramphus albicilla,PO,CORACIIFORMES,Alcedinidae,marianeisfugl
3208,Todiramphus tristrami,AU,CORACIIFORMES,Alcedinidae,melanesiaisfugl
3209,Todiramphus sacer,"AU, PO",CORACIIFORMES,Alcedinidae,stillehavsisfugl
3210,Todiramphus enigma,AU,CORACIIFORMES,Alcedinidae,talaudisfugl
3211,Todiramphus cinnamominus,PO,CORACIIFORMES,Alcedinidae,guamisfugl
3212,Todiramphus pelewensis,PO,CORACIIFORMES,Alcedinidae,palauisfugl
3213,Todiramphus reichenbachii,PO,CORACIIFORMES,Alcedinidae,pohnpeiisfugl
3214,Todiramphus saurophagus,AU,CORACIIFORMES,Alcedinidae,strandisfugl
3215,Todiramphus sanctus,"OR, AU",CORACIIFORMES,Alcedinidae,maskaraisfugl
3216,Todiramphus recurvirostris,PO,CORACIIFORMES,Alcedinidae,samoaisfugl
3217,Todiramphus australasia,AU,CORACIIFORMES,Alcedinidae,kanelisfugl
3218,Todiramphus tutus,PO,CORACIIFORMES,Alcedinidae,skratteisfugl
3219,Todiramphus ruficollaris,PO,CORACIIFORMES,Alcedinidae,mangaiaisfugl
3220,Todiramphus veneratus,PO,CORACIIFORMES,Alcedinidae,tahitiisfugl
3221,Todiramphus gertrudae,PO,CORACIIFORMES,Alcedinidae,niauisfugl
3222,Todiramphus godeffroyi,PO,CORACIIFORMES,Alcedinidae,marquesasisfugl
3223,Todiramphus pyrrhopygius,AU,CORACIIFORMES,Alcedinidae,rustgumpisfugl
3224,Syma torotoro,AU,CORACIIFORMES,Alcedinidae,torotoroisfugl
3225,Syma megarhyncha,AU,CORACIIFORMES,Alcedinidae,najadeisfugl
3226,Ispidina lecontei,AF,CORACIIFORMES,Alcedinidae,knøttisfugl
3227,Ispidina picta,AF,CORACIIFORMES,Alcedinidae,pygméisfugl
3228,Corythornis madagascariensis,AF,CORACIIFORMES,Alcedinidae,gasserisfugl
3229,Corythornis leucogaster,AF,CORACIIFORMES,Alcedinidae,jungelisfugl
3230,Corythornis cristatus,AF,CORACIIFORMES,Alcedinidae,tiaraisfugl
3231,Corythornis vintsioides,AF,CORACIIFORMES,Alcedinidae,madagaskarisfugl
3232,Alcedo coerulescens,"OR, AU",CORACIIFORMES,Alcedinidae,akvamarinisfugl
3233,Alcedo peninsulae,OR,CORACIIFORMES,Alcedinidae,Malaysian Blue-banded Kingfisher
3234,Alcedo euryzona,OR,CORACIIFORMES,Alcedinidae,blåkjedeisfugl
3235,Alcedo quadribrachys,AF,CORACIIFORMES,Alcedinidae,indigoisfugl
3236,Alcedo meninting,"OR, AU",CORACIIFORMES,Alcedinidae,lakmusisfugl
3237,Alcedo atthis,"PAL, OR, AU",CORACIIFORMES,Alcedinidae,isfugl
3238,Alcedo semitorquata,AF,CORACIIFORMES,Alcedinidae,koboltisfugl
3239,Alcedo hercules,OR,CORACIIFORMES,Alcedinidae,herkulesisfugl
3240,Ceyx erithaca,OR,CORACIIFORMES,Alcedinidae,orientisfugl
3241,Ceyx melanurus,OR,CORACIIFORMES,Alcedinidae,rosenisfugl
3242,Ceyx sangirensis,AU,CORACIIFORMES,Alcedinidae,Sangihe Dwarf Kingfisher
3243,Ceyx fallax,AU,CORACIIFORMES,Alcedinidae,sulawesiisfugl
3244,Ceyx lepidus,AU,CORACIIFORMES,Alcedinidae,opalisfugl
3245,Ceyx margarethae,OR,CORACIIFORMES,Alcedinidae,filippinerisfugl
3246,Ceyx wallacii,AU,CORACIIFORMES,Alcedinidae,sulaisfugl
3247,Ceyx cajeli,AU,CORACIIFORMES,Alcedinidae,buruisfugl
3248,Ceyx solitarius,AU,CORACIIFORMES,Alcedinidae,nyguineaisfugl
3249,Ceyx dispar,AU,CORACIIFORMES,Alcedinidae,manusisfugl
3250,Ceyx mulcatus,AU,CORACIIFORMES,Alcedinidae,niuailanisfugl
3251,Ceyx sacerdotis,AU,CORACIIFORMES,Alcedinidae,niubritenisfugl
3252,Ceyx meeki,AU,CORACIIFORMES,Alcedinidae,isabelisfugl
3253,Ceyx collectoris,AU,CORACIIFORMES,Alcedinidae,nygeorgiaisfugl
3254,Ceyx nigromaxilla,AU,CORACIIFORMES,Alcedinidae,guadalcanalisfugl
3255,Ceyx gentianus,AU,CORACIIFORMES,Alcedinidae,makiraisfugl
3256,Ceyx cyanopectus,OR,CORACIIFORMES,Alcedinidae,safirisfugl
3257,Ceyx argentatus,OR,CORACIIFORMES,Alcedinidae,sølvisfugl
3258,Ceyx flumenicola,OR,CORACIIFORMES,Alcedinidae,kremstrupeisfugl
3259,Ceyx azureus,AU,CORACIIFORMES,Alcedinidae,asurisfugl
3260,Ceyx websteri,AU,CORACIIFORMES,Alcedinidae,bismarckisfugl
3261,Ceyx pusillus,AU,CORACIIFORMES,Alcedinidae,alveisfugl
3262,Chloroceryle amazona,"MA, SA",CORACIIFORMES,Alcedinidae,amazonisfugl
3263,Chloroceryle aenea,"MA, SA",CORACIIFORMES,Alcedinidae,bronseisfugl
3264,Chloroceryle americana,"NA, MA, SA",CORACIIFORMES,Alcedinidae,grønnisfugl
3265,Chloroceryle inda,"MA, SA",CORACIIFORMES,Alcedinidae,olivenisfugl
3266,Megaceryle lugubris,"OR, PAL",CORACIIFORMES,Alcedinidae,kaskadeisfugl
3267,Megaceryle maxima,AF,CORACIIFORMES,Alcedinidae,kjempeisfugl
3268,Megaceryle torquata,"NA, MA, SA",CORACIIFORMES,Alcedinidae,ringisfugl
3269,Ceryle rudis,"AF, OR",CORACIIFORMES,Alcedinidae,terneisfugl
3270,Hylomanes momotula,"MA, SA",CORACIIFORMES,Momotidae,dvergmotmot
3271,Aspatha gularis,MA,CORACIIFORMES,Momotidae,blåstrupemotmot
3272,Momotus mexicanus,MA,CORACIIFORMES,Momotidae,mexicomotmot
3273,Momotus coeruliceps,MA,CORACIIFORMES,Momotidae,blåkronemotmot
3274,Momotus lessonii,MA,CORACIIFORMES,Momotidae,diademmotmot
3275,Momotus subrufescens,"MA, SA",CORACIIFORMES,Momotidae,karamellmotmot
3276,Momotus bahamensis,SA,CORACIIFORMES,Momotidae,trinidadmotmot
3277,Momotus momota,SA,CORACIIFORMES,Momotidae,blåpannemotmot
3278,Momotus aequatorialis,SA,CORACIIFORMES,Momotidae,bergmotmot
3279,Baryphthengus martii,"MA, SA",CORACIIFORMES,Momotidae,kanelmotmot
3280,Baryphthengus ruficapillus,SA,CORACIIFORMES,Momotidae,brunkronemotmot
3281,Electron carinatum,MA,CORACIIFORMES,Momotidae,brunpannemotmot
3282,Electron platyrhynchum,"MA, SA",CORACIIFORMES,Momotidae,brednebbmotmot
3283,Eumomota superciliosa,MA,CORACIIFORMES,Momotidae,turkisbrynmotmot
3284,Nyctyornis amictus,OR,CORACIIFORMES,Meropidae,rødskjeggbieter
3285,Nyctyornis athertoni,OR,CORACIIFORMES,Meropidae,blåskjeggbieter
3286,Meropogon forsteni,AU,CORACIIFORMES,Meropidae,purpurbieter
3287,Merops breweri,AF,CORACIIFORMES,Meropidae,svarthodebieter
3288,Merops muelleri,AF,CORACIIFORMES,Meropidae,brunryggbieter
3289,Merops mentalis,AF,CORACIIFORMES,Meropidae,lazulibieter
3290,Merops gularis,AF,CORACIIFORMES,Meropidae,svartbieter
3291,Merops hirundineus,AF,CORACIIFORMES,Meropidae,svalebieter
3292,Merops pusillus,AF,CORACIIFORMES,Meropidae,dvergbieter
3293,Merops variegatus,AF,CORACIIFORMES,Meropidae,blåbrystbieter
3294,Merops lafresnayii,AF,CORACIIFORMES,Meropidae,Ethiopian Bee-eater
3295,Merops oreobates,AF,CORACIIFORMES,Meropidae,bergbieter
3296,Merops bulocki,AF,CORACIIFORMES,Meropidae,rødstrupebieter
3297,Merops bullockoides,AF,CORACIIFORMES,Meropidae,hvitpannebieter
3298,Merops revoilii,AF,CORACIIFORMES,Meropidae,somalibieter
3299,Merops albicollis,AF,CORACIIFORMES,Meropidae,sebrabieter
3300,Merops boehmi,AF,CORACIIFORMES,Meropidae,brunhodebieter
3301,Merops viridissimus,AF,CORACIIFORMES,Meropidae,African Green Bee-eater
3302,Merops cyanophrys,PAL,CORACIIFORMES,Meropidae,Arabian Green Bee-eater
3303,Merops orientalis,"PAL, OR",CORACIIFORMES,Meropidae,beryllbieter
3304,Merops persicus,PAL,CORACIIFORMES,Meropidae,blåkinnbieter
3305,Merops superciliosus,AF,CORACIIFORMES,Meropidae,olivenbieter
3306,Merops philippinus,"OR, AU",CORACIIFORMES,Meropidae,blåhalebieter
3307,Merops ornatus,AU,CORACIIFORMES,Meropidae,regnbuebieter
3308,Merops viridis,OR,CORACIIFORMES,Meropidae,jadebieter
3309,Merops americanus,OR,CORACIIFORMES,Meropidae,rustkronebieter
3310,Merops leschenaulti,OR,CORACIIFORMES,Meropidae,bengalbieter
3311,Merops apiaster,"PAL, AF",CORACIIFORMES,Meropidae,bieter
3312,Merops malimbicus,AF,CORACIIFORMES,Meropidae,rosenbieter
3313,Merops nubicus,AF,CORACIIFORMES,Meropidae,karminbieter
3314,Merops nubicoides,AF,CORACIIFORMES,Meropidae,sinoberbieter
3315,Galbalcyrhynchus leucotis,SA,PICIFORMES,Galbulidae,hvitørejakamar
3316,Galbalcyrhynchus purusianus,SA,PICIFORMES,Galbulidae,kastanjejakamar
3317,Brachygalba salmoni,"MA, SA",PICIFORMES,Galbulidae,mørkryggjakamar
3318,Brachygalba goeringi,SA,PICIFORMES,Galbulidae,blekhodejakamar
3319,Brachygalba lugubris,SA,PICIFORMES,Galbulidae,brunjakamar
3320,Brachygalba albogularis,SA,PICIFORMES,Galbulidae,hvitmaskejakamar
3321,Jacamaralcyon tridactyla,SA,PICIFORMES,Galbulidae,tretåjakamar
3322,Galbula albirostris,SA,PICIFORMES,Galbulidae,gulnebbjakamar
3323,Galbula cyanicollis,SA,PICIFORMES,Galbulidae,blånakkejakamar
3324,Galbula ruficauda,"MA, SA",PICIFORMES,Galbulidae,rusthalejakamar
3325,Galbula galbula,SA,PICIFORMES,Galbulidae,grønnhalejakamar
3326,Galbula pastazae,SA,PICIFORMES,Galbulidae,kobberjakamar
3327,Galbula tombacea,SA,PICIFORMES,Galbulidae,hvithakejakamar
3328,Galbula cyanescens,SA,PICIFORMES,Galbulidae,blåpannejakamar
3329,Galbula chalcothorax,SA,PICIFORMES,Galbulidae,purpurjakamar
3330,Galbula leucogastra,SA,PICIFORMES,Galbulidae,bronsejakamar
3331,Galbula dea,SA,PICIFORMES,Galbulidae,paradisjakamar
3332,Jacamerops aureus,"MA, SA",PICIFORMES,Galbulidae,storjakamar
3333,Notharchus hyperrhynchus,"MA, SA",PICIFORMES,Bucconidae,hvitpannedovenfugl
3334,Notharchus macrorhynchos,SA,PICIFORMES,Bucconidae,guyanadovenfugl
3335,Notharchus swainsoni,SA,PICIFORMES,Bucconidae,rustbukdovenfugl
3336,Notharchus pectoralis,"MA, SA",PICIFORMES,Bucconidae,svartbrystdovenfugl
3337,Notharchus ordii,SA,PICIFORMES,Bucconidae,brunbeltedovenfugl
3338,Notharchus tectus,"MA, SA",PICIFORMES,Bucconidae,perledovenfugl
3339,Bucco macrodactylus,SA,PICIFORMES,Bucconidae,brunkronedovenfugl
3340,Bucco tamatia,SA,PICIFORMES,Bucconidae,tamatiadovenfugl
3341,Bucco noanamae,SA,PICIFORMES,Bucconidae,gråkinndovenfugl
3342,Bucco capensis,SA,PICIFORMES,Bucconidae,rusthodedovenfugl
3343,Nystalus radiatus,"MA, SA",PICIFORMES,Bucconidae,skjelldovenfugl
3344,Nystalus chacuru,SA,PICIFORMES,Bucconidae,hvitøredovenfugl
3345,Nystalus striolatus,SA,PICIFORMES,Bucconidae,stripedovenfugl
3346,Nystalus obamai,SA,PICIFORMES,Bucconidae,terrafirmedovenfugl
3347,Nystalus maculatus,SA,PICIFORMES,Bucconidae,flekkdovenfugl
3348,Nystalus striatipectus,SA,PICIFORMES,Bucconidae,Chaco Puffbird
3349,Hypnelus ruficollis,SA,PICIFORMES,Bucconidae,ruststrupedovenfugl
3350,Hypnelus bicinctus,SA,PICIFORMES,Bucconidae,tobeltedovenfugl
3351,Malacoptila striata,SA,PICIFORMES,Bucconidae,halvmånedovenfugl
3352,Malacoptila fusca,SA,PICIFORMES,Bucconidae,oransjenebbdovenfugl
3353,Malacoptila semicincta,SA,PICIFORMES,Bucconidae,rustnakkedovenfugl
3354,Malacoptila fulvogularis,SA,PICIFORMES,Bucconidae,mørkdovenfugl
3355,Malacoptila rufa,SA,PICIFORMES,Bucconidae,rustkragedovenfugl
3356,Malacoptila panamensis,"MA, SA",PICIFORMES,Bucconidae,hvitskjeggdovenfugl
3357,Malacoptila mystacalis,SA,PICIFORMES,Bucconidae,mustasjedovenfugl
3358,Micromonacha lanceolata,"MA, SA",PICIFORMES,Bucconidae,munkedovenfugl
3359,Nonnula rubecula,SA,PICIFORMES,Bucconidae,rødbrystnovise
3360,Nonnula sclateri,SA,PICIFORMES,Bucconidae,brunkinnovise
3361,Nonnula brunnea,SA,PICIFORMES,Bucconidae,brunnovise
3362,Nonnula frontalis,"MA, SA",PICIFORMES,Bucconidae,gråkinnovise
3363,Nonnula ruficapilla,SA,PICIFORMES,Bucconidae,rustkronenovise
3364,Nonnula amaurocephala,SA,PICIFORMES,Bucconidae,nøttehodenovise
3365,Hapaloptila castanea,SA,PICIFORMES,Bucconidae,priorinnefugl
3366,Monasa atra,SA,PICIFORMES,Bucconidae,svartklarisse
3367,Monasa nigrifrons,SA,PICIFORMES,Bucconidae,sotklarisse
3368,Monasa morphoeus,"MA, SA",PICIFORMES,Bucconidae,hvitpanneklarisse
3369,Monasa flavirostris,SA,PICIFORMES,Bucconidae,gulnebbklarisse
3370,Chelidoptera tenebrosa,SA,PICIFORMES,Bucconidae,svaledovenfugl
3371,Capito aurovirens,SA,PICIFORMES,Capitonidae,gullbrystskjeggfugl
3372,Capito wallacei,SA,PICIFORMES,Capitonidae,rødbelteskjeggfugl
3373,Capito fitzpatricki,SA,PICIFORMES,Capitonidae,rødflankeskjeggfugl
3374,Capito maculicoronatus,"MA, SA",PICIFORMES,Capitonidae,flekkroneskjeggfugl
3375,Capito squamatus,SA,PICIFORMES,Capitonidae,ildpanneskjeggfugl
3376,Capito hypoleucus,SA,PICIFORMES,Capitonidae,hvitryggskjeggfugl
3377,Capito dayi,SA,PICIFORMES,Capitonidae,amazonskjeggfugl
3378,Capito brunneipectus,SA,PICIFORMES,Capitonidae,brunbrystskjeggfugl
3379,Capito niger,SA,PICIFORMES,Capitonidae,auroraskjeggfugl
3380,Capito auratus,SA,PICIFORMES,Capitonidae,gyllenpanneskjeggfugl
3381,Capito quinticolor,SA,PICIFORMES,Capitonidae,femfargeskjeggfugl
3382,Eubucco richardsoni,SA,PICIFORMES,Capitonidae,sitronstrupeskjeggfugl
3383,Eubucco bourcierii,"MA, SA",PICIFORMES,Capitonidae,rødhodeskjeggfugl
3384,Eubucco tucinkae,SA,PICIFORMES,Capitonidae,inkaskjeggfugl
3385,Eubucco versicolor,SA,PICIFORMES,Capitonidae,flerfargeskjeggfugl
3386,Semnornis frantzii,MA,PICIFORMES,Semnornithidae,klonebbskjeggfugl
3387,Semnornis ramphastinus,SA,PICIFORMES,Semnornithidae,tukanskjeggfugl
3388,Aulacorhynchus wagleri,MA,PICIFORMES,Ramphastidae,gulpannetukan
3389,Aulacorhynchus prasinus,MA,PICIFORMES,Ramphastidae,smaragdtukan
3390,Aulacorhynchus caeruleogularis,"MA, SA",PICIFORMES,Ramphastidae,blåstrupetukan
3391,Aulacorhynchus albivitta,SA,PICIFORMES,Ramphastidae,andestukan
3392,Aulacorhynchus atrogularis,SA,PICIFORMES,Ramphastidae,svartstrupetukan
3393,Aulacorhynchus sulcatus,SA,PICIFORMES,Ramphastidae,furenebbtukan
3394,Aulacorhynchus derbianus,SA,PICIFORMES,Ramphastidae,bruntipptukan
3395,Aulacorhynchus whitelianus,SA,PICIFORMES,Ramphastidae,tepuitukan
3396,Aulacorhynchus haematopygus,SA,PICIFORMES,Ramphastidae,rødgumptukan
3397,Aulacorhynchus huallagae,SA,PICIFORMES,Ramphastidae,gulbryntukan
3398,Aulacorhynchus coeruleicinctis,SA,PICIFORMES,Ramphastidae,blåbåndtukan
3399,Pteroglossus viridis,SA,PICIFORMES,Ramphastidae,gulbuktukan
3400,Pteroglossus inscriptus,SA,PICIFORMES,Ramphastidae,skrifttukan
3401,Pteroglossus bitorquatus,SA,PICIFORMES,Ramphastidae,rødbrysttukan
3402,Pteroglossus azara,SA,PICIFORMES,Ramphastidae,elfenbeinstukan
3403,Pteroglossus mariae,SA,PICIFORMES,Ramphastidae,brunnebbtukan
3404,Pteroglossus aracari,SA,PICIFORMES,Ramphastidae,rødbeltetukan
3405,Pteroglossus castanotis,SA,PICIFORMES,Ramphastidae,brunkinntukan
3406,Pteroglossus pluricinctus,SA,PICIFORMES,Ramphastidae,tobeltetukan
3407,Pteroglossus torquatus,"MA, SA",PICIFORMES,Ramphastidae,halsbåndtukan
3408,Pteroglossus sanguineus,SA,PICIFORMES,Ramphastidae,marmornebbtukan
3409,Pteroglossus erythropygius,SA,PICIFORMES,Ramphastidae,bleknebbtukan
3410,Pteroglossus frantzii,MA,PICIFORMES,Ramphastidae,ildnebbtukan
3411,Pteroglossus beauharnaisii,SA,PICIFORMES,Ramphastidae,krølltukan
3412,Pteroglossus bailloni,SA,PICIFORMES,Ramphastidae,safrantukan
3413,Selenidera spectabilis,"MA, SA",PICIFORMES,Ramphastidae,brilletukan
3414,Selenidera piperivora,SA,PICIFORMES,Ramphastidae,guyanatukan
3415,Selenidera reinwardtii,SA,PICIFORMES,Ramphastidae,rødnebbtukan
3416,Selenidera nattereri,SA,PICIFORMES,Ramphastidae,quiputukan
3417,Selenidera gouldii,SA,PICIFORMES,Ramphastidae,selenetukan
3418,Selenidera maculirostris,SA,PICIFORMES,Ramphastidae,flekknebbtukan
3419,Andigena hypoglauca,SA,PICIFORMES,Ramphastidae,lavendeltukan
3420,Andigena laminirostris,SA,PICIFORMES,Ramphastidae,platenebbtukan
3421,Andigena cucullata,SA,PICIFORMES,Ramphastidae,hettetukan
3422,Andigena nigrirostris,SA,PICIFORMES,Ramphastidae,svartnebbtukan
3423,Ramphastos dicolorus,SA,PICIFORMES,Ramphastidae,rødbuktukan
3424,Ramphastos vitellinus,SA,PICIFORMES,Ramphastidae,tupinambatukan
3425,Ramphastos citreolaemus,SA,PICIFORMES,Ramphastidae,sitronstrupetukan
3426,Ramphastos brevis,SA,PICIFORMES,Ramphastidae,chocotukan
3427,Ramphastos sulfuratus,"MA, SA",PICIFORMES,Ramphastidae,regnbuetukan
3428,Ramphastos toco,SA,PICIFORMES,Ramphastidae,tocotukan
3429,Ramphastos tucanus,SA,PICIFORMES,Ramphastidae,vinnebbtukan
3430,Ramphastos ambiguus,SA,PICIFORMES,Ramphastidae,gulnebbtukan
3431,Psilopogon pyrolophus,OR,PICIFORMES,Megalaimidae,rødbustskjeggfugl
3432,Psilopogon virens,OR,PICIFORMES,Megalaimidae,himalayaskjeggfugl
3433,Psilopogon lagrandieri,OR,PICIFORMES,Megalaimidae,rødgumpskjeggfugl
3434,Psilopogon zeylanicus,OR,PICIFORMES,Megalaimidae,brunhodeskjeggfugl
3435,Psilopogon lineatus,OR,PICIFORMES,Megalaimidae,stripeskjeggfugl
3436,Psilopogon viridis,OR,PICIFORMES,Megalaimidae,hvitkinnskjeggfugl
3437,Psilopogon faiostrictus,OR,PICIFORMES,Megalaimidae,grønnkinnskjeggfugl
3438,Psilopogon corvinus,OR,PICIFORMES,Megalaimidae,brunstrupeskjeggfugl
3439,Psilopogon chrysopogon,OR,PICIFORMES,Megalaimidae,gullkinnskjeggfugl
3440,Psilopogon rafflesii,OR,PICIFORMES,Megalaimidae,rødkroneskjeggfugl
3441,Psilopogon mystacophanos,OR,PICIFORMES,Megalaimidae,rødstrupeskjeggfugl
3442,Psilopogon javensis,OR,PICIFORMES,Megalaimidae,båndskjeggfugl
3443,Psilopogon flavifrons,OR,PICIFORMES,Megalaimidae,gulpanneskjeggfugl
3444,Psilopogon franklinii,OR,PICIFORMES,Megalaimidae,gulstrupeskjeggfugl
3445,Psilopogon auricularis,OR,PICIFORMES,Megalaimidae,smykkeskjeggfugl
3446,Psilopogon oorti,OR,PICIFORMES,Megalaimidae,svartbrynskjeggfugl
3447,Psilopogon annamensis,OR,PICIFORMES,Megalaimidae,annamskjeggfugl
3448,Psilopogon faber,OR,PICIFORMES,Megalaimidae,svartkroneskjeggfugl
3449,Psilopogon nuchalis,OR,PICIFORMES,Megalaimidae,taiwanskjeggfugl
