,IOC,Breeding Range,Order,Family,Russian
3154,Uratelornis chimaera,AF,CORACIIFORMES,Brachypteraciidae,Длиннохвостая земляная ракша
3155,Actenoides monachus,AU,CORACIIFORMES,Alcedinidae,Сулавесская альциона
3156,Actenoides princeps,AU,CORACIIFORMES,Alcedinidae,Королевская альциона
3157,Actenoides bougainvillei,AU,CORACIIFORMES,Alcedinidae,Усатая альциона
3158,Actenoides lindsayi,OR,CORACIIFORMES,Alcedinidae,Пёстрая альциона
3159,Actenoides hombroni,OR,CORACIIFORMES,Alcedinidae,Синешапочная альциона
3160,Actenoides concretus,OR,CORACIIFORMES,Alcedinidae,Малайская альциона
3161,Melidora macrorrhina,AU,CORACIIFORMES,Alcedinidae,Зимородок-мелидора
3162,Lacedo pulchella,OR,CORACIIFORMES,Alcedinidae,Полосатый зимородок
3163,Tanysiptera galatea,AU,CORACIIFORMES,Alcedinidae,Райский зимородок
3164,Tanysiptera ellioti,AU,CORACIIFORMES,Alcedinidae,Эллиотов райский зимородок
3165,Tanysiptera riedelii,AU,CORACIIFORMES,Alcedinidae,Райский зимородок Риделя
3166,Tanysiptera carolinae,AU,CORACIIFORMES,Alcedinidae,Райский зимородок Каролины
3167,Tanysiptera hydrocharis,AU,CORACIIFORMES,Alcedinidae,Аруйский райский зимородок
3168,Tanysiptera sylvia,AU,CORACIIFORMES,Alcedinidae,Белохвостый райский зимородок
3169,Tanysiptera nigriceps,AU,CORACIIFORMES,Alcedinidae,Черношапочный райский зимородок
3170,Tanysiptera nympha,AU,CORACIIFORMES,Alcedinidae,Розовогрудый райский зимородок
3171,Tanysiptera danae,AU,CORACIIFORMES,Alcedinidae,Буроспинный райский зимородок
3172,Cittura cyanotis,AU,CORACIIFORMES,Alcedinidae,Синеухий зимородок
3173,Cittura sanghirensis,AU,CORACIIFORMES,Alcedinidae,Sangihe Lilac Kingfisher
3174,Dacelo rex,AU,CORACIIFORMES,Alcedinidae,Лягушкоротый зимородок
3175,Dacelo tyro,AU,CORACIIFORMES,Alcedinidae,Аруанская кукабара
3176,Dacelo gaudichaud,AU,CORACIIFORMES,Alcedinidae,Краснобрюхая кукабара
3177,Dacelo novaeguineae,AU,CORACIIFORMES,Alcedinidae,Смеющаяся кукабара
3178,Dacelo leachii,AU,CORACIIFORMES,Alcedinidae,Синекрылая кукабара
3179,Caridonax fulgidus,AU,CORACIIFORMES,Alcedinidae,Атласная альциона
3180,Pelargopsis capensis,OR,CORACIIFORMES,Alcedinidae,Аистоклювый гуриал
3181,Pelargopsis melanorhyncha,AU,CORACIIFORMES,Alcedinidae,Черноклювый гуриал
3182,Pelargopsis amauroptera,OR,CORACIIFORMES,Alcedinidae,Белокрылый гуриал
3183,Halcyon coromanda,"OR, AU",CORACIIFORMES,Alcedinidae,Рыжий зимородок
3184,Halcyon smyrnensis,OR,CORACIIFORMES,Alcedinidae,Красноносый зимородок
3185,Halcyon gularis,OR,CORACIIFORMES,Alcedinidae,Филиппинский красноносый зимородок
3186,Halcyon cyanoventris,OR,CORACIIFORMES,Alcedinidae,Яванская альциона
3187,Halcyon badia,AF,CORACIIFORMES,Alcedinidae,Каштановая альциона
3188,Halcyon pileata,OR,CORACIIFORMES,Alcedinidae,Ошейниковый зимородок
3189,Halcyon leucocephala,AF,CORACIIFORMES,Alcedinidae,Сероголовая альциона
3190,Halcyon albiventris,AF,CORACIIFORMES,Alcedinidae,Буроголовая альциона
3191,Halcyon chelicuti,AF,CORACIIFORMES,Alcedinidae,Полосатая альциона
3192,Halcyon malimbica,AF,CORACIIFORMES,Alcedinidae,Синегрудая альциона
3193,Halcyon senegalensis,AF,CORACIIFORMES,Alcedinidae,Сенегальская альциона
3194,Halcyon senegaloides,AF,CORACIIFORMES,Alcedinidae,Мангровая альциона
3195,Todiramphus nigrocyaneus,AU,CORACIIFORMES,Alcedinidae,Тёмная альциона
3196,Todiramphus winchelli,OR,CORACIIFORMES,Alcedinidae,Красношейная альциона
3197,Todiramphus diops,AU,CORACIIFORMES,Alcedinidae,Лазурная альциона
3198,Todiramphus lazuli,AU,CORACIIFORMES,Alcedinidae,Лазуритовая альциона
3199,Todiramphus macleayii,AU,CORACIIFORMES,Alcedinidae,Лесная альциона
3200,Todiramphus albonotatus,AU,CORACIIFORMES,Alcedinidae,Новобританская альциона
3201,Todiramphus leucopygius,AU,CORACIIFORMES,Alcedinidae,Ультрамариновая альциона
3202,Todiramphus farquhari,AU,CORACIIFORMES,Alcedinidae,Каштановобрюхая альциона
3203,Todiramphus funebris,AU,CORACIIFORMES,Alcedinidae,Молуккская альциона
3204,Todiramphus chloris,"OR, AU",CORACIIFORMES,Alcedinidae,Белошейная альциона
3205,Todiramphus sordidus,AU,CORACIIFORMES,Alcedinidae,Австралийская альциона
3206,Todiramphus colonus,AU,CORACIIFORMES,Alcedinidae,Луизиадская альциона
3207,Todiramphus albicilla,PO,CORACIIFORMES,Alcedinidae,Марианская альциона
3208,Todiramphus tristrami,AU,CORACIIFORMES,Alcedinidae,Меланизийская альциона
3209,Todiramphus sacer,"AU, PO",CORACIIFORMES,Alcedinidae,Океанская альциона
3210,Todiramphus enigma,AU,CORACIIFORMES,Alcedinidae,Талаудская альциона
3211,Todiramphus cinnamominus,PO,CORACIIFORMES,Alcedinidae,Микронезийская альциона
3212,Todiramphus pelewensis,PO,CORACIIFORMES,Alcedinidae,Палауская альциона
3213,Todiramphus reichenbachii,PO,CORACIIFORMES,Alcedinidae,Сенявинская альциона
3214,Todiramphus saurophagus,AU,CORACIIFORMES,Alcedinidae,Белоголовая альциона
3215,Todiramphus sanctus,"OR, AU",CORACIIFORMES,Alcedinidae,Священная альциона
3216,Todiramphus recurvirostris,PO,CORACIIFORMES,Alcedinidae,Плоскоклювая альциона
3217,Todiramphus australasia,AU,CORACIIFORMES,Alcedinidae,Тиморская альциона
3218,Todiramphus tutus,PO,CORACIIFORMES,Alcedinidae,Бораборская альциона
3219,Todiramphus ruficollaris,PO,CORACIIFORMES,Alcedinidae,Мангайская альциона
3220,Todiramphus veneratus,PO,CORACIIFORMES,Alcedinidae,Таитянская альциона
3221,Todiramphus gertrudae,PO,CORACIIFORMES,Alcedinidae,Ниаусская альциона
3222,Todiramphus godeffroyi,PO,CORACIIFORMES,Alcedinidae,Маркизская альциона
3223,Todiramphus pyrrhopygius,AU,CORACIIFORMES,Alcedinidae,Краснопоясная альциона
3224,Syma torotoro,AU,CORACIIFORMES,Alcedinidae,Малая желтоклювая альциона
3225,Syma megarhyncha,AU,CORACIIFORMES,Alcedinidae,Горная альциона
3226,Ispidina lecontei,AF,CORACIIFORMES,Alcedinidae,Африканский карликовый лесной зимородок
3227,Ispidina picta,AF,CORACIIFORMES,Alcedinidae,Крошечный лесной зимородок
3228,Corythornis madagascariensis,AF,CORACIIFORMES,Alcedinidae,Мадагаскарский лесной зимородок
3229,Corythornis leucogaster,AF,CORACIIFORMES,Alcedinidae,Белобрюхий зимородок
3230,Corythornis cristatus,AF,CORACIIFORMES,Alcedinidae,Малахитовый зимородок
3231,Corythornis vintsioides,AF,CORACIIFORMES,Alcedinidae,Мадагаскарский зимородок
3232,Alcedo coerulescens,"OR, AU",CORACIIFORMES,Alcedinidae,Малый голубой зимородок
3233,Alcedo peninsulae,OR,CORACIIFORMES,Alcedinidae,Malaysian Blue-banded Kingfisher
3234,Alcedo euryzona,OR,CORACIIFORMES,Alcedinidae,Полосатогрудый зимородок
3235,Alcedo quadribrachys,AF,CORACIIFORMES,Alcedinidae,Бирюзовый зимородок
3236,Alcedo meninting,"OR, AU",CORACIIFORMES,Alcedinidae,Синеухий зимородок
3237,Alcedo atthis,"PAL, OR, AU",CORACIIFORMES,Alcedinidae,Зимородок
3238,Alcedo semitorquata,AF,CORACIIFORMES,Alcedinidae,Кобальтовый зимородок
3239,Alcedo hercules,OR,CORACIIFORMES,Alcedinidae,Большой голубой зимородок
3240,Ceyx erithaca,OR,CORACIIFORMES,Alcedinidae,Трёхпалый лесной зимородок
3241,Ceyx melanurus,OR,CORACIIFORMES,Alcedinidae,Филиппинский лесной зимородок
3242,Ceyx sangirensis,AU,CORACIIFORMES,Alcedinidae,Sangihe Dwarf Kingfisher
3243,Ceyx fallax,AU,CORACIIFORMES,Alcedinidae,Сулавесский лесной зимородок
3244,Ceyx lepidus,AU,CORACIIFORMES,Alcedinidae,Карликовый лесной зимородок
3245,Ceyx margarethae,OR,CORACIIFORMES,Alcedinidae,Изменчивый лесной зимородок
3246,Ceyx wallacii,AU,CORACIIFORMES,Alcedinidae,Уоллесов лесной зимородок
3247,Ceyx cajeli,AU,CORACIIFORMES,Alcedinidae,Буруанский лесной зимородок
3248,Ceyx solitarius,AU,CORACIIFORMES,Alcedinidae,Папуанский лесной зимородок
3249,Ceyx dispar,AU,CORACIIFORMES,Alcedinidae,Манусский лесной зимородок
3250,Ceyx mulcatus,AU,CORACIIFORMES,Alcedinidae,Новоирландский лесной зимородок
3251,Ceyx sacerdotis,AU,CORACIIFORMES,Alcedinidae,Новобританский лесной зимородок
3252,Ceyx meeki,AU,CORACIIFORMES,Alcedinidae,Украшенный лесной зимородок
3253,Ceyx collectoris,AU,CORACIIFORMES,Alcedinidae,Ньюджорджийский лесной зимородок
3254,Ceyx nigromaxilla,AU,CORACIIFORMES,Alcedinidae,Гуадалканальский лесной зимородок
3255,Ceyx gentianus,AU,CORACIIFORMES,Alcedinidae,Макирский лесной зимородок
3256,Ceyx cyanopectus,OR,CORACIIFORMES,Alcedinidae,Синегрудый лесной зимородок
3257,Ceyx argentatus,OR,CORACIIFORMES,Alcedinidae,Серебристый лесной зимородок
3258,Ceyx flumenicola,OR,CORACIIFORMES,Alcedinidae,Ручьевой лесной зимородок
3259,Ceyx azureus,AU,CORACIIFORMES,Alcedinidae,Лазурный лесной зимородок
3260,Ceyx websteri,AU,CORACIIFORMES,Alcedinidae,Бисмаркский лесной зимородок
3261,Ceyx pusillus,AU,CORACIIFORMES,Alcedinidae,Мангровый лесной зимородок
3262,Chloroceryle amazona,"MA, SA",CORACIIFORMES,Alcedinidae,Амазонский зелёный зимородок
3263,Chloroceryle aenea,"MA, SA",CORACIIFORMES,Alcedinidae,Карликовый зелёный зимородок
3264,Chloroceryle americana,"NA, MA, SA",CORACIIFORMES,Alcedinidae,Зелёный зимородок
3265,Chloroceryle inda,"MA, SA",CORACIIFORMES,Alcedinidae,Двуцветный зелёный зимородок
3266,Megaceryle lugubris,"OR, PAL",CORACIIFORMES,Alcedinidae,Большой пегий зимородок
3267,Megaceryle maxima,AF,CORACIIFORMES,Alcedinidae,Гигантский пегий зимородок
3268,Megaceryle torquata,"NA, MA, SA",CORACIIFORMES,Alcedinidae,Красногрудый пегий зимородок
3269,Ceryle rudis,"AF, OR",CORACIIFORMES,Alcedinidae,Малый пегий зимородок
3270,Hylomanes momotula,"MA, SA",CORACIIFORMES,Momotidae,Малый момот
3271,Aspatha gularis,MA,CORACIIFORMES,Momotidae,Синегорлый момот
3272,Momotus mexicanus,MA,CORACIIFORMES,Momotidae,Бурошапочный момот
3273,Momotus coeruliceps,MA,CORACIIFORMES,Momotidae,Северный момот
3274,Momotus lessonii,MA,CORACIIFORMES,Momotidae,Диадемовый момот
3275,Momotus subrufescens,"MA, SA",CORACIIFORMES,Momotidae,Карибский момот
3276,Momotus bahamensis,SA,CORACIIFORMES,Momotidae,Багамский синешапочный момот
3277,Momotus momota,SA,CORACIIFORMES,Momotidae,Синешапочный момот
3278,Momotus aequatorialis,SA,CORACIIFORMES,Momotidae,Горный момот
3279,Baryphthengus martii,"MA, SA",CORACIIFORMES,Momotidae,Рыжий момот
3280,Baryphthengus ruficapillus,SA,CORACIIFORMES,Momotidae,Красноголовый момот
3281,Electron carinatum,MA,CORACIIFORMES,Momotidae,Ребристоклювый электрон
3282,Electron platyrhynchum,"MA, SA",CORACIIFORMES,Momotidae,Плоскоклювый электрон
3283,Eumomota superciliosa,MA,CORACIIFORMES,Momotidae,Бурый момот
3284,Nyctyornis amictus,OR,CORACIIFORMES,Meropidae,Краснобородая ночная щурка
3285,Nyctyornis athertoni,OR,CORACIIFORMES,Meropidae,Синебородая ночная щурка
3286,Meropogon forsteni,AU,CORACIIFORMES,Meropidae,Сулавесская щурка
3287,Merops breweri,AF,CORACIIFORMES,Meropidae,Черноголовая щурка
3288,Merops muelleri,AF,CORACIIFORMES,Meropidae,Синеголовая щурка
3289,Merops mentalis,AF,CORACIIFORMES,Meropidae,Синеусая щурка
3290,Merops gularis,AF,CORACIIFORMES,Meropidae,Чёрная щурка
3291,Merops hirundineus,AF,CORACIIFORMES,Meropidae,Ласточкохвостая щурка
3292,Merops pusillus,AF,CORACIIFORMES,Meropidae,Карликовая щурка
3293,Merops variegatus,AF,CORACIIFORMES,Meropidae,Синегрудая щурка
3294,Merops lafresnayii,AF,CORACIIFORMES,Meropidae,Ethiopian Bee-eater
3295,Merops oreobates,AF,CORACIIFORMES,Meropidae,Черногрудая щурка
3296,Merops bulocki,AF,CORACIIFORMES,Meropidae,Красногорлая щурка
3297,Merops bullockoides,AF,CORACIIFORMES,Meropidae,Белолобая щурка
3298,Merops revoilii,AF,CORACIIFORMES,Meropidae,Сомалийская щурка
3299,Merops albicollis,AF,CORACIIFORMES,Meropidae,Белогорлая щурка
3300,Merops boehmi,AF,CORACIIFORMES,Meropidae,Бёмова щурка
3301,Merops viridissimus,AF,CORACIIFORMES,Meropidae,African Green Bee-eater
3302,Merops cyanophrys,PAL,CORACIIFORMES,Meropidae,Arabian Green Bee-eater
3303,Merops orientalis,"PAL, OR",CORACIIFORMES,Meropidae,Малая зелёная щурка
3304,Merops persicus,PAL,CORACIIFORMES,Meropidae,Зелёная щурка
3305,Merops superciliosus,AF,CORACIIFORMES,Meropidae,Оливковая щурка
3306,Merops philippinus,"OR, AU",CORACIIFORMES,Meropidae,Синехвостая щурка
3307,Merops ornatus,AU,CORACIIFORMES,Meropidae,Радужная щурка
3308,Merops viridis,OR,CORACIIFORMES,Meropidae,Малайская щурка
3309,Merops americanus,OR,CORACIIFORMES,Meropidae,Rufous-crowned Bee-eater
3310,Merops leschenaulti,OR,CORACIIFORMES,Meropidae,Буроголовая щурка
3311,Merops apiaster,"PAL, AF",CORACIIFORMES,Meropidae,Золотистая щурка
3312,Merops malimbicus,AF,CORACIIFORMES,Meropidae,Розовая щурка
3313,Merops nubicus,AF,CORACIIFORMES,Meropidae,Нубийская щурка
3314,Merops nubicoides,AF,CORACIIFORMES,Meropidae,Карминная щурка
3315,Galbalcyrhynchus leucotis,SA,PICIFORMES,Galbulidae,Короткохвостая якамара
3316,Galbalcyrhynchus purusianus,SA,PICIFORMES,Galbulidae,Каштановая якамара
3317,Brachygalba salmoni,"MA, SA",PICIFORMES,Galbulidae,Темноспинная брахигальба
3318,Brachygalba goeringi,SA,PICIFORMES,Galbulidae,Бледноголовая брахигальба
3319,Brachygalba lugubris,SA,PICIFORMES,Galbulidae,Бурогорлая брахигальба
3320,Brachygalba albogularis,SA,PICIFORMES,Galbulidae,Белогорлая брахигальба
3321,Jacamaralcyon tridactyla,SA,PICIFORMES,Galbulidae,Трёхпалая якамара
3322,Galbula albirostris,SA,PICIFORMES,Galbulidae,Желтоклювая якамара
3323,Galbula cyanicollis,SA,PICIFORMES,Galbulidae,Синешейная якамара
3324,Galbula ruficauda,"MA, SA",PICIFORMES,Galbulidae,Краснохвостая якамара
3325,Galbula galbula,SA,PICIFORMES,Galbulidae,Зелёная якамара
3326,Galbula pastazae,SA,PICIFORMES,Galbulidae,Медногрудая якамара
3327,Galbula tombacea,SA,PICIFORMES,Galbulidae,Белогорлая якамара
3328,Galbula cyanescens,SA,PICIFORMES,Galbulidae,Синелобая якамара
3329,Galbula chalcothorax,SA,PICIFORMES,Galbulidae,Пурпуровая якамара
3330,Galbula leucogastra,SA,PICIFORMES,Galbulidae,Бронзовая якамара
3331,Galbula dea,SA,PICIFORMES,Galbulidae,Райская якамара
3332,Jacamerops aureus,"MA, SA",PICIFORMES,Galbulidae,Большая якамара
3333,Notharchus hyperrhynchus,"MA, SA",PICIFORMES,Bucconidae,Белошейная нотарха
3334,Notharchus macrorhynchos,SA,PICIFORMES,Bucconidae,Большеклювая нотарха
3335,Notharchus swainsoni,SA,PICIFORMES,Bucconidae,Кремовобрюхая нотарха
3336,Notharchus pectoralis,"MA, SA",PICIFORMES,Bucconidae,Черногрудая нотарха
3337,Notharchus ordii,SA,PICIFORMES,Bucconidae,Бурополосая нотарха
3338,Notharchus tectus,"MA, SA",PICIFORMES,Bucconidae,Сорочья нотарха
3339,Bucco macrodactylus,SA,PICIFORMES,Bucconidae,Бурошапочная пуховка
3340,Bucco tamatia,SA,PICIFORMES,Bucconidae,Пятнистая малакоптила
3341,Bucco noanamae,SA,PICIFORMES,Bucconidae,Черношапочная пуховка
3342,Bucco capensis,SA,PICIFORMES,Bucconidae,Ошейниковая пуховка
3343,Nystalus radiatus,"MA, SA",PICIFORMES,Bucconidae,Зеленоклювая нисталус
3344,Nystalus chacuru,SA,PICIFORMES,Bucconidae,Белоухая нисталус
3345,Nystalus striolatus,SA,PICIFORMES,Bucconidae,Полосатая нисталус
3346,Nystalus obamai,SA,PICIFORMES,Bucconidae,Западный нисталус
3347,Nystalus maculatus,SA,PICIFORMES,Bucconidae,Пятнистая нисталус
3348,Nystalus striatipectus,SA,PICIFORMES,Bucconidae,Chaco Puffbird
3349,Hypnelus ruficollis,SA,PICIFORMES,Bucconidae,Красногорлая пуховка
3350,Hypnelus bicinctus,SA,PICIFORMES,Bucconidae,Two-banded Puffbird
3351,Malacoptila striata,SA,PICIFORMES,Bucconidae,Чёрно-белая малакоптила
3352,Malacoptila fusca,SA,PICIFORMES,Bucconidae,Белогрудая малакоптила
3353,Malacoptila semicincta,SA,PICIFORMES,Bucconidae,Полуошейниковая малакоптила
3354,Malacoptila fulvogularis,SA,PICIFORMES,Bucconidae,Бурогорлая малакоптила
3355,Malacoptila rufa,SA,PICIFORMES,Bucconidae,Златолобая малакоптила
3356,Malacoptila panamensis,"MA, SA",PICIFORMES,Bucconidae,Белолицая малакоптила
3357,Malacoptila mystacalis,SA,PICIFORMES,Bucconidae,Усатая малакоптила
3358,Micromonacha lanceolata,"MA, SA",PICIFORMES,Bucconidae,Полосатая пуховка
3359,Nonnula rubecula,SA,PICIFORMES,Bucconidae,Красногорлая ноннула
3360,Nonnula sclateri,SA,PICIFORMES,Bucconidae,Желтогорлая ноннула
3361,Nonnula brunnea,SA,PICIFORMES,Bucconidae,Одноцветная ноннула
3362,Nonnula frontalis,"MA, SA",PICIFORMES,Bucconidae,Серощёкая ноннула
3363,Nonnula ruficapilla,SA,PICIFORMES,Bucconidae,Серощёкая ноннула
3364,Nonnula amaurocephala,SA,PICIFORMES,Bucconidae,Красноголовая ноннула
3365,Hapaloptila castanea,SA,PICIFORMES,Bucconidae,Белолицая пуховка
3366,Monasa atra,SA,PICIFORMES,Bucconidae,Чёрная монашенка
3367,Monasa nigrifrons,SA,PICIFORMES,Bucconidae,Чернолобая монашенка
3368,Monasa morphoeus,"MA, SA",PICIFORMES,Bucconidae,Белолобая монашенка
3369,Monasa flavirostris,SA,PICIFORMES,Bucconidae,Желтоклювая монашенка
3370,Chelidoptera tenebrosa,SA,PICIFORMES,Bucconidae,Ласточкокрылая пуховка
3371,Capito aurovirens,SA,PICIFORMES,Capitonidae,Оливковый кабезон
3372,Capito wallacei,SA,PICIFORMES,Capitonidae,Лоретский кабезон
3373,Capito fitzpatricki,SA,PICIFORMES,Capitonidae,Сирский кабезон
3374,Capito maculicoronatus,"MA, SA",PICIFORMES,Capitonidae,Пятнистый кабезон
3375,Capito squamatus,SA,PICIFORMES,Capitonidae,Оранжеволобый кабезон
3376,Capito hypoleucus,SA,PICIFORMES,Capitonidae,Белоспинный кабезон
3377,Capito dayi,SA,PICIFORMES,Capitonidae,Полосатогорлый кабезон
3378,Capito brunneipectus,SA,PICIFORMES,Capitonidae,Рыжегрудый кабезон
3379,Capito niger,SA,PICIFORMES,Capitonidae,Крапчатый кабезон
3380,Capito auratus,SA,PICIFORMES,Capitonidae,Золотой кабезон
3381,Capito quinticolor,SA,PICIFORMES,Capitonidae,Пятицветный кабезон
3382,Eubucco richardsoni,SA,PICIFORMES,Capitonidae,Златогрудый эубукко
3383,Eubucco bourcierii,"MA, SA",PICIFORMES,Capitonidae,Андский эубукко
3384,Eubucco tucinkae,SA,PICIFORMES,Capitonidae,Карабайский эубукко
3385,Eubucco versicolor,SA,PICIFORMES,Capitonidae,Многоцветный эубукко
3386,Semnornis frantzii,MA,PICIFORMES,Semnornithidae,Зубчатоклювый туканий бородастик
3387,Semnornis ramphastinus,SA,PICIFORMES,Semnornithidae,Туканий бородастик
3388,Aulacorhynchus wagleri,MA,PICIFORMES,Ramphastidae,Туканет Ваглера
3389,Aulacorhynchus prasinus,MA,PICIFORMES,Ramphastidae,Изумрудный туканет
3390,Aulacorhynchus caeruleogularis,"MA, SA",PICIFORMES,Ramphastidae,Голубогорлый туканет
3391,Aulacorhynchus albivitta,SA,PICIFORMES,Ramphastidae,Андский туканет
3392,Aulacorhynchus atrogularis,SA,PICIFORMES,Ramphastidae,Чёрногорлый туканет
3393,Aulacorhynchus sulcatus,SA,PICIFORMES,Ramphastidae,Голуболицый туканет
3394,Aulacorhynchus derbianus,SA,PICIFORMES,Ramphastidae,Туканет Дерби
3395,Aulacorhynchus whitelianus,SA,PICIFORMES,Ramphastidae,Гайанский туканет
3396,Aulacorhynchus haematopygus,SA,PICIFORMES,Ramphastidae,Малиновопоясничный туканет
3397,Aulacorhynchus huallagae,SA,PICIFORMES,Ramphastidae,Желтобровый туканет
3398,Aulacorhynchus coeruleicinctis,SA,PICIFORMES,Ramphastidae,Сероклювый туканет
3399,Pteroglossus viridis,SA,PICIFORMES,Ramphastidae,Зелёный арасари
3400,Pteroglossus inscriptus,SA,PICIFORMES,Ramphastidae,Пестроклювый арасари
3401,Pteroglossus bitorquatus,SA,PICIFORMES,Ramphastidae,Двухполосый арасари
3402,Pteroglossus azara,SA,PICIFORMES,Ramphastidae,Краснозобый арасари
3403,Pteroglossus mariae,SA,PICIFORMES,Ramphastidae,Буроклювый арасари
3404,Pteroglossus aracari,SA,PICIFORMES,Ramphastidae,Черногорлый арасари
3405,Pteroglossus castanotis,SA,PICIFORMES,Ramphastidae,Буроухий арасари
3406,Pteroglossus pluricinctus,SA,PICIFORMES,Ramphastidae,Многополосый арасари
3407,Pteroglossus torquatus,"MA, SA",PICIFORMES,Ramphastidae,Ошейниковый арасари
3408,Pteroglossus sanguineus,SA,PICIFORMES,Ramphastidae,Полосатоклювый арасари
3409,Pteroglossus erythropygius,SA,PICIFORMES,Ramphastidae,Светлоклювый арасари
3410,Pteroglossus frantzii,MA,PICIFORMES,Ramphastidae,Огненноклювый арасари
3411,Pteroglossus beauharnaisii,SA,PICIFORMES,Ramphastidae,Курчавый арасари
3412,Pteroglossus bailloni,SA,PICIFORMES,Ramphastidae,Златогрудая андигена
3413,Selenidera spectabilis,"MA, SA",PICIFORMES,Ramphastidae,Желтоухая селенидера
3414,Selenidera piperivora,SA,PICIFORMES,Ramphastidae,Гвианская селенидера
3415,Selenidera reinwardtii,SA,PICIFORMES,Ramphastidae,Золотошейная селенидера
3416,Selenidera nattereri,SA,PICIFORMES,Ramphastidae,Селенидера Наттерера
3417,Selenidera gouldii,SA,PICIFORMES,Ramphastidae,Селенидера Гульда
3418,Selenidera maculirostris,SA,PICIFORMES,Ramphastidae,Пестроклювая селенидера
3419,Andigena hypoglauca,SA,PICIFORMES,Ramphastidae,Голубая андигена
3420,Andigena laminirostris,SA,PICIFORMES,Ramphastidae,Плоскоклювая андигена
3421,Andigena cucullata,SA,PICIFORMES,Ramphastidae,Черноголовая андигена
3422,Andigena nigrirostris,SA,PICIFORMES,Ramphastidae,Черноклювая андигена
3423,Ramphastos dicolorus,SA,PICIFORMES,Ramphastidae,Красногрудый тукан
3424,Ramphastos vitellinus,SA,PICIFORMES,Ramphastidae,Тукан-ариель
3425,Ramphastos citreolaemus,SA,PICIFORMES,Ramphastidae,Лимонногорлый тукан
3426,Ramphastos brevis,SA,PICIFORMES,Ramphastidae,Чокосский тукан
3427,Ramphastos sulfuratus,"MA, SA",PICIFORMES,Ramphastidae,Радужный тукан
3428,Ramphastos toco,SA,PICIFORMES,Ramphastidae,Большой тукан
3429,Ramphastos tucanus,SA,PICIFORMES,Ramphastidae,Белогрудый тукан
3430,Ramphastos ambiguus,SA,PICIFORMES,Ramphastidae,Желтогорлый тукан
3431,Psilopogon pyrolophus,OR,PICIFORMES,Megalaimidae,Красночубый бородастик
3432,Psilopogon virens,OR,PICIFORMES,Megalaimidae,Большой бородастик
3433,Psilopogon lagrandieri,OR,PICIFORMES,Megalaimidae,Красногузый бородастик
3434,Psilopogon zeylanicus,OR,PICIFORMES,Megalaimidae,Цейлонский бородастик
3435,Psilopogon lineatus,OR,PICIFORMES,Megalaimidae,Полосатый бородастик
3436,Psilopogon viridis,OR,PICIFORMES,Megalaimidae,Зелёный бородастик
3437,Psilopogon faiostrictus,OR,PICIFORMES,Megalaimidae,Зеленоухий бородастик
3438,Psilopogon corvinus,OR,PICIFORMES,Megalaimidae,Бурогорлый бородастик
3439,Psilopogon chrysopogon,OR,PICIFORMES,Megalaimidae,Золотистощёкий бородастик
3440,Psilopogon rafflesii,OR,PICIFORMES,Megalaimidae,Многоцветный бородастик
3441,Psilopogon mystacophanos,OR,PICIFORMES,Megalaimidae,Пестроголовый бородастик
3442,Psilopogon javensis,OR,PICIFORMES,Megalaimidae,Яванский бородастик
3443,Psilopogon flavifrons,OR,PICIFORMES,Megalaimidae,Желтолобый бородастик
3444,Psilopogon franklinii,OR,PICIFORMES,Megalaimidae,Золотистогорлый бородастик
3445,Psilopogon auricularis,OR,PICIFORMES,Megalaimidae,Necklaced Barbet
3446,Psilopogon oorti,OR,PICIFORMES,Megalaimidae,Чернобурый бородастик
3447,Psilopogon annamensis,OR,PICIFORMES,Megalaimidae,Вьетнамский бородастик
3448,Psilopogon faber,OR,PICIFORMES,Megalaimidae,Китайский бородастик
3449,Psilopogon nuchalis,OR,PICIFORMES,Megalaimidae,Тайваньский чернобровый бородастик
3450,Psilopogon asiaticus,OR,PICIFORMES,Megalaimidae,Голубощёкий бородастик
3451,Psilopogon chersonesus,OR,PICIFORMES,Megalaimidae,Turquoise-throated Barbet
3452,Psilopogon monticola,OR,PICIFORMES,Megalaimidae,Горный бородастик
3453,Psilopogon incognitus,OR,PICIFORMES,Megalaimidae,Усатый бородастик
3454,Psilopogon henricii,OR,PICIFORMES,Megalaimidae,Желтошапочный бородастик
3455,Psilopogon armillaris,OR,PICIFORMES,Megalaimidae,Синешапочный бородастик
3456,Psilopogon pulcherrimus,OR,PICIFORMES,Megalaimidae,Роскошный бородастик
3457,Psilopogon australis,OR,PICIFORMES,Megalaimidae,Синеухий бородастик
3458,Psilopogon duvaucelii,OR,PICIFORMES,Megalaimidae,Синеухий бородастик
3459,Psilopogon eximius,OR,PICIFORMES,Megalaimidae,Черногорлый бородастик
3460,Psilopogon rubricapillus,OR,PICIFORMES,Megalaimidae,Малабарский бородастик
3461,Psilopogon malabaricus,OR,PICIFORMES,Megalaimidae,Малабарский бородастик
3462,Psilopogon haemacephalus,OR,PICIFORMES,Megalaimidae,Красноголовый бородастик
3463,Caloramphus fuliginosus,OR,PICIFORMES,Megalaimidae,Бурый бородастик
3464,Caloramphus hayii,OR,PICIFORMES,Megalaimidae,Скромный бородастик
3465,Gymnobucco bonapartei,AF,PICIFORMES,Lybiidae,Сероголовый гимнобукко
3466,Gymnobucco sladeni,AF,PICIFORMES,Lybiidae,Сладеров гимнобукко
