,IOC,Breeding Range,Order,Family,Serbian
3127,Rhyticeros cassidix,AU,BUCEROTIFORMES,Bucerotidae,Crvenošlemi kljunorožac
3128,Rhabdotorrhinus waldeni,OR,BUCEROTIFORMES,Bucerotidae,Walden's Hornbill
3129,Rhabdotorrhinus leucocephalus,OR,BUCEROTIFORMES,Bucerotidae,Writhed Hornbill
3130,Rhabdotorrhinus exarhatus,AU,BUCEROTIFORMES,Bucerotidae,Sulawesi Hornbill
3131,Rhabdotorrhinus corrugatus,OR,BUCEROTIFORMES,Bucerotidae,Wrinkled Hornbill
3132,Penelopides manillae,OR,BUCEROTIFORMES,Bucerotidae,Luzonski kljunorožac
3133,Penelopides mindorensis,OR,BUCEROTIFORMES,Bucerotidae,Kljunorožac sa ostrva Mindoro
3134,Penelopides affinis,OR,BUCEROTIFORMES,Bucerotidae,Kljunorožac sa ostrva Mindanao
3135,Penelopides samarensis,OR,BUCEROTIFORMES,Bucerotidae,Samar Hornbill
3136,Penelopides panini,OR,BUCEROTIFORMES,Bucerotidae,Visayan Hornbill
3137,Coracias naevius,AF,CORACIIFORMES,Coraciidae,Modrovrana riđeg temena
3138,Coracias benghalensis,PAL,CORACIIFORMES,Coraciidae,Indijska modrovrana
3139,Coracias affinis,OR,CORACIIFORMES,Coraciidae,Indokineska modrovrana
3140,Coracias temminckii,AU,CORACIIFORMES,Coraciidae,Purple-winged Roller
3141,Coracias spatulatus,AF,CORACIIFORMES,Coraciidae,Racket-tailed Roller
3142,Coracias caudatus,AF,CORACIIFORMES,Coraciidae,Modrovrana ljubičastih grudi
3143,Coracias abyssinicus,AF,CORACIIFORMES,Coraciidae,Abisinijska modrovrana
3144,Coracias garrulus,PAL,CORACIIFORMES,Coraciidae,Modrovrana
3145,Coracias cyanogaster,AF,CORACIIFORMES,Coraciidae,Blue-bellied Roller
3146,Eurystomus gularis,AF,CORACIIFORMES,Coraciidae,Plavogrla modrovrana
3147,Eurystomus glaucurus,AF,CORACIIFORMES,Coraciidae,Širokokljuna modrovrana
3148,Eurystomus orientalis,"PAL, OR, AU",CORACIIFORMES,Coraciidae,Oriental Dollarbird
3149,Eurystomus azureus,AU,CORACIIFORMES,Coraciidae,Azurno plava modrovrana
3150,Brachypteracias leptosomus,AF,CORACIIFORMES,Brachypteraciidae,Kratkonoga modrovrana sa tla
3151,Geobiastes squamiger,AF,CORACIIFORMES,Brachypteraciidae,Ljuskasta modrovrana sa tla
3152,Atelornis pittoides,AF,CORACIIFORMES,Brachypteraciidae,Pitolika modrovrana sa tla
3153,Atelornis crossleyi,AF,CORACIIFORMES,Brachypteraciidae,Modrovrana sa tla riđe glave
3154,Uratelornis chimaera,AF,CORACIIFORMES,Brachypteraciidae,Dugorepa modrovrana sa tla
3155,Actenoides monachus,AU,CORACIIFORMES,Alcedinidae,Zelenoleđi vodomar
3156,Actenoides princeps,AU,CORACIIFORMES,Alcedinidae,Vodomar sa ljuskavim grudima
3157,Actenoides bougainvillei,AU,CORACIIFORMES,Alcedinidae,Brkati vodomar
3158,Actenoides lindsayi,OR,CORACIIFORMES,Alcedinidae,Pegavi vodomar
3159,Actenoides hombroni,OR,CORACIIFORMES,Alcedinidae,Vodomar sa plavom kapicom
3160,Actenoides concretus,OR,CORACIIFORMES,Alcedinidae,Vodomar sa riđom ogrlicom
3161,Melidora macrorrhina,AU,CORACIIFORMES,Alcedinidae,Vodomar kukastog kljuna
3162,Lacedo pulchella,OR,CORACIIFORMES,Alcedinidae,Banded Kingfisher
3163,Tanysiptera galatea,AU,CORACIIFORMES,Alcedinidae,Obični rajski vodomar
3164,Tanysiptera ellioti,AU,CORACIIFORMES,Alcedinidae,Eliotov rajski vodomar
3165,Tanysiptera riedelii,AU,CORACIIFORMES,Alcedinidae,Rajski vodomar sa ostrva Biak
3166,Tanysiptera carolinae,AU,CORACIIFORMES,Alcedinidae,Numfor Paradise Kingfisher
3167,Tanysiptera hydrocharis,AU,CORACIIFORMES,Alcedinidae,Mali rajski vodomar
3168,Tanysiptera sylvia,AU,CORACIIFORMES,Alcedinidae,Buff-breasted Paradise Kingfisher
3169,Tanysiptera nigriceps,AU,CORACIIFORMES,Alcedinidae,Black-capped Paradise Kingfisher
3170,Tanysiptera nympha,AU,CORACIIFORMES,Alcedinidae,Crvenogrudi rajski vodomar
3171,Tanysiptera danae,AU,CORACIIFORMES,Alcedinidae,Smeđoglavi rajski vodomar
3172,Cittura cyanotis,AU,CORACIIFORMES,Alcedinidae,Sulawesi Lilac Kingfisher
3173,Cittura sanghirensis,AU,CORACIIFORMES,Alcedinidae,Sangihe Lilac Kingfisher
3174,Dacelo rex,AU,CORACIIFORMES,Alcedinidae,Shovel-billed Kookaburra
3175,Dacelo tyro,AU,CORACIIFORMES,Alcedinidae,Spangled Kookaburra
3176,Dacelo gaudichaud,AU,CORACIIFORMES,Alcedinidae,Rufous-bellied Kookaburra
3177,Dacelo novaeguineae,AU,CORACIIFORMES,Alcedinidae,Kukabura
3178,Dacelo leachii,AU,CORACIIFORMES,Alcedinidae,Plavokrila kukabura
3179,Caridonax fulgidus,AU,CORACIIFORMES,Alcedinidae,Vodomar sa belim nadrepkom
3180,Pelargopsis capensis,OR,CORACIIFORMES,Alcedinidae,Stork-billed Kingfisher
3181,Pelargopsis melanorhyncha,AU,CORACIIFORMES,Alcedinidae,Great-billed Kingfisher
3182,Pelargopsis amauroptera,OR,CORACIIFORMES,Alcedinidae,Brown-winged Kingfisher
3183,Halcyon coromanda,"OR, AU",CORACIIFORMES,Alcedinidae,Riđi vodomar
3184,Halcyon smyrnensis,OR,CORACIIFORMES,Alcedinidae,Belogrudi vodomar
3185,Halcyon gularis,OR,CORACIIFORMES,Alcedinidae,Smeđogrudi vodomar
3186,Halcyon cyanoventris,OR,CORACIIFORMES,Alcedinidae,Javan Kingfisher
3187,Halcyon badia,AF,CORACIIFORMES,Alcedinidae,Chocolate-backed Kingfisher
3188,Halcyon pileata,OR,CORACIIFORMES,Alcedinidae,Crnokapi vodomar
3189,Halcyon leucocephala,AF,CORACIIFORMES,Alcedinidae,Sivoglavi vodomar
3190,Halcyon albiventris,AF,CORACIIFORMES,Alcedinidae,Smeđoglavi vodomar
3191,Halcyon chelicuti,AF,CORACIIFORMES,Alcedinidae,Prugasti vodomar
3192,Halcyon malimbica,AF,CORACIIFORMES,Alcedinidae,Blue-breasted Kingfisher
3193,Halcyon senegalensis,AF,CORACIIFORMES,Alcedinidae,Senegalski šumski vodomar
3194,Halcyon senegaloides,AF,CORACIIFORMES,Alcedinidae,Senegalski mangrovski vodomar
3195,Todiramphus nigrocyaneus,AU,CORACIIFORMES,Alcedinidae,Plavo-crni vodomar
3196,Todiramphus winchelli,OR,CORACIIFORMES,Alcedinidae,Riđoliki vodomar
3197,Todiramphus diops,AU,CORACIIFORMES,Alcedinidae,Plavo-beli vodomar
3198,Todiramphus lazuli,AU,CORACIIFORMES,Alcedinidae,Lapis azuli vodomar
3199,Todiramphus macleayii,AU,CORACIIFORMES,Alcedinidae,Prašumski vodomar
3200,Todiramphus albonotatus,AU,CORACIIFORMES,Alcedinidae,Vodomar sa ostrva Nova Britanija
3201,Todiramphus leucopygius,AU,CORACIIFORMES,Alcedinidae,Ultramarin plavi vodomar
3202,Todiramphus farquhari,AU,CORACIIFORMES,Alcedinidae,Vodomar sa Vanuatua
3203,Todiramphus funebris,AU,CORACIIFORMES,Alcedinidae,Vodomar sa ostrva Halmahera
3204,Todiramphus chloris,"OR, AU",CORACIIFORMES,Alcedinidae,Azijski ogrličasti vodomar
3205,Todiramphus sordidus,AU,CORACIIFORMES,Alcedinidae,Toreski vodomar
3206,Todiramphus colonus,AU,CORACIIFORMES,Alcedinidae,Vodomar sa arhipelaga Luizijada
3207,Todiramphus albicilla,PO,CORACIIFORMES,Alcedinidae,Vodomar sa ostrva Marijana
3208,Todiramphus tristrami,AU,CORACIIFORMES,Alcedinidae,Melanezijski vodomar
3209,Todiramphus sacer,"AU, PO",CORACIIFORMES,Alcedinidae,Pacifički vodomar
3210,Todiramphus enigma,AU,CORACIIFORMES,Alcedinidae,Vodomar sa Talaudskih ostrva
3211,Todiramphus cinnamominus,PO,CORACIIFORMES,Alcedinidae,Vodomar sa ostrva Guam
3212,Todiramphus pelewensis,PO,CORACIIFORMES,Alcedinidae,Vodomar sa ostrva Palau
3213,Todiramphus reichenbachii,PO,CORACIIFORMES,Alcedinidae,Rajhenbahov vodomar
3214,Todiramphus saurophagus,AU,CORACIIFORMES,Alcedinidae,Mangrovski vodomar
3215,Todiramphus sanctus,"OR, AU",CORACIIFORMES,Alcedinidae,Sveti vodomar
3216,Todiramphus recurvirostris,PO,CORACIIFORMES,Alcedinidae,Ravnokljuni vodomar
3217,Todiramphus australasia,AU,CORACIIFORMES,Alcedinidae,Vodomar sa cimetastom trakom
3218,Todiramphus tutus,PO,CORACIIFORMES,Alcedinidae,Brbljivi vodomar
3219,Todiramphus ruficollaris,PO,CORACIIFORMES,Alcedinidae,Vodomar mjaukavac
3220,Todiramphus veneratus,PO,CORACIIFORMES,Alcedinidae,Vodomar sa Društvenih ostrva
3221,Todiramphus gertrudae,PO,CORACIIFORMES,Alcedinidae,Vodomar sa ostrva Niau
3222,Todiramphus godeffroyi,PO,CORACIIFORMES,Alcedinidae,Vodomar sa Markiskih ostrva
3223,Todiramphus pyrrhopygius,AU,CORACIIFORMES,Alcedinidae,Vodomar crvenih leđa
3224,Syma torotoro,AU,CORACIIFORMES,Alcedinidae,Žutokljuni vodomar
3225,Syma megarhyncha,AU,CORACIIFORMES,Alcedinidae,Planinski vodomar
3226,Ispidina lecontei,AF,CORACIIFORMES,Alcedinidae,Crvenoglavi afrički patuljasti vodomar
3227,Ispidina picta,AF,CORACIIFORMES,Alcedinidae,Plavoglavi afrički patuljasti vodomar
3228,Corythornis madagascariensis,AF,CORACIIFORMES,Alcedinidae,Madagaskarski patuljasti vodomar
3229,Corythornis leucogaster,AF,CORACIIFORMES,Alcedinidae,Belotrbi vodomar
3230,Corythornis cristatus,AF,CORACIIFORMES,Alcedinidae,Malahitski vodomar
3231,Corythornis vintsioides,AF,CORACIIFORMES,Alcedinidae,Malagasy Kingfisher
3232,Alcedo coerulescens,"OR, AU",CORACIIFORMES,Alcedinidae,Mali plavi vodomar
3233,Alcedo peninsulae,OR,CORACIIFORMES,Alcedinidae,Malaysian Blue-banded Kingfisher
3234,Alcedo euryzona,OR,CORACIIFORMES,Alcedinidae,Plavotrakasti vodomar
3235,Alcedo quadribrachys,AF,CORACIIFORMES,Alcedinidae,Jarkoplavi vodomar
3236,Alcedo meninting,"OR, AU",CORACIIFORMES,Alcedinidae,Plavouhi vodomar
3237,Alcedo atthis,"PAL, OR, AU",CORACIIFORMES,Alcedinidae,Vodomar
3238,Alcedo semitorquata,AF,CORACIIFORMES,Alcedinidae,Vodomar sa prekinutom ogrlicom
3239,Alcedo hercules,OR,CORACIIFORMES,Alcedinidae,Blitov vodomar
3240,Ceyx erithaca,OR,CORACIIFORMES,Alcedinidae,Crnoleđi patuljasti vodomar
3241,Ceyx melanurus,OR,CORACIIFORMES,Alcedinidae,Filipinski patuljasti vodomar
3242,Ceyx sangirensis,AU,CORACIIFORMES,Alcedinidae,Sangihe Dwarf Kingfisher
3243,Ceyx fallax,AU,CORACIIFORMES,Alcedinidae,Sulawesi Dwarf Kingfisher
3244,Ceyx lepidus,AU,CORACIIFORMES,Alcedinidae,Patuljasti vodomar sa ostrva Seram
3245,Ceyx margarethae,OR,CORACIIFORMES,Alcedinidae,Dimorphic Dwarf Kingfisher
3246,Ceyx wallacii,AU,CORACIIFORMES,Alcedinidae,Patuljasti vodomar sa ostrva Sula
3247,Ceyx cajeli,AU,CORACIIFORMES,Alcedinidae,Patuljasti vodomar sa ostrva Buru
3248,Ceyx solitarius,AU,CORACIIFORMES,Alcedinidae,Papuan Dwarf Kingfisher
3249,Ceyx dispar,AU,CORACIIFORMES,Alcedinidae,Manus Dwarf Kingfisher
3250,Ceyx mulcatus,AU,CORACIIFORMES,Alcedinidae,New Ireland Dwarf Kingfisher
3251,Ceyx sacerdotis,AU,CORACIIFORMES,Alcedinidae,Patuljasti vodomar sa ostrva Nova Britanija
3252,Ceyx meeki,AU,CORACIIFORMES,Alcedinidae,North Solomons Dwarf Kingfisher
3253,Ceyx collectoris,AU,CORACIIFORMES,Alcedinidae,New Georgia Dwarf Kingfisher
3254,Ceyx nigromaxilla,AU,CORACIIFORMES,Alcedinidae,Patuljasti vodomar sa Gvadalkanala
3255,Ceyx gentianus,AU,CORACIIFORMES,Alcedinidae,Patuljasti vodomar sa ostrva Makira
3256,Ceyx cyanopectus,OR,CORACIIFORMES,Alcedinidae,Vodomar sa plavim trakama
3257,Ceyx argentatus,OR,CORACIIFORMES,Alcedinidae,Južni srebrni vodomar
3258,Ceyx flumenicola,OR,CORACIIFORMES,Alcedinidae,Severni srebrni vodomar
3259,Ceyx azureus,AU,CORACIIFORMES,Alcedinidae,Azurnoplavi vodomar
3260,Ceyx websteri,AU,CORACIIFORMES,Alcedinidae,Bizmarkov vodomar
3261,Ceyx pusillus,AU,CORACIIFORMES,Alcedinidae,Mali vodomar
3262,Chloroceryle amazona,"MA, SA",CORACIIFORMES,Alcedinidae,Amazonski vodomar
3263,Chloroceryle aenea,"MA, SA",CORACIIFORMES,Alcedinidae,American Pygmy Kingfisher
3264,Chloroceryle americana,"NA, MA, SA",CORACIIFORMES,Alcedinidae,Zeleni američki vodomar
3265,Chloroceryle inda,"MA, SA",CORACIIFORMES,Alcedinidae,Green-and-rufous Kingfisher
3266,Megaceryle lugubris,"OR, PAL",CORACIIFORMES,Alcedinidae,Ćubasti vodomar
3267,Megaceryle maxima,AF,CORACIIFORMES,Alcedinidae,Džinovski vodomar
3268,Megaceryle torquata,"NA, MA, SA",CORACIIFORMES,Alcedinidae,Američki ogrličasti vodomar
3269,Ceryle rudis,"AF, OR",CORACIIFORMES,Alcedinidae,Vodomar šarac
3270,Hylomanes momotula,"MA, SA",CORACIIFORMES,Momotidae,Todi momot
3271,Aspatha gularis,MA,CORACIIFORMES,Momotidae,Plavogrli momot
3272,Momotus mexicanus,MA,CORACIIFORMES,Momotidae,Meksički momot
3273,Momotus coeruliceps,MA,CORACIIFORMES,Momotidae,Plavokapi momot
3274,Momotus lessonii,MA,CORACIIFORMES,Momotidae,Lesonov momot
3275,Momotus subrufescens,"MA, SA",CORACIIFORMES,Momotidae,Hučući momot
3276,Momotus bahamensis,SA,CORACIIFORMES,Momotidae,Trinidadski momot
3277,Momotus momota,SA,CORACIIFORMES,Momotidae,Amazonski momot
3278,Momotus aequatorialis,SA,CORACIIFORMES,Momotidae,Andski momot
3279,Baryphthengus martii,"MA, SA",CORACIIFORMES,Momotidae,Riđi momot
3280,Baryphthengus ruficapillus,SA,CORACIIFORMES,Momotidae,Riđokapi momot
3281,Electron carinatum,MA,CORACIIFORMES,Momotidae,Klinorepi momot
3282,Electron platyrhynchum,"MA, SA",CORACIIFORMES,Momotidae,Širokokljuni momot
3283,Eumomota superciliosa,MA,CORACIIFORMES,Momotidae,Momot sa tirkiznom obrvom
3284,Nyctyornis amictus,OR,CORACIIFORMES,Meropidae,Crvenobrada pčelarica
3285,Nyctyornis athertoni,OR,CORACIIFORMES,Meropidae,Plavobrada pčelarica
3286,Meropogon forsteni,AU,CORACIIFORMES,Meropidae,Pčelarica ljubičaste brade
3287,Merops breweri,AF,CORACIIFORMES,Meropidae,Crnoglava pčelarica
3288,Merops muelleri,AF,CORACIIFORMES,Meropidae,Plavoglava pčelarica
3289,Merops mentalis,AF,CORACIIFORMES,Meropidae,Pčelarica plavih brkova
3290,Merops gularis,AF,CORACIIFORMES,Meropidae,Crna pčelarica
3291,Merops hirundineus,AF,CORACIIFORMES,Meropidae,Lastorepa pčelarica
3292,Merops pusillus,AF,CORACIIFORMES,Meropidae,Mala pčelarica
3293,Merops variegatus,AF,CORACIIFORMES,Meropidae,Plavogruda pčelarica
3294,Merops lafresnayii,AF,CORACIIFORMES,Meropidae,Ethiopian Bee-eater
3295,Merops oreobates,AF,CORACIIFORMES,Meropidae,Pčelarica cimetastih grudi
3296,Merops bulocki,AF,CORACIIFORMES,Meropidae,Crvenogrla pčelarica
3297,Merops bullockoides,AF,CORACIIFORMES,Meropidae,Beločela pčelarica
3298,Merops revoilii,AF,CORACIIFORMES,Meropidae,Somalijska pčelarica
3299,Merops albicollis,AF,CORACIIFORMES,Meropidae,Belogrla pčelarica
3300,Merops boehmi,AF,CORACIIFORMES,Meropidae,Bemova pčelarica
3301,Merops viridissimus,AF,CORACIIFORMES,Meropidae,African Green Bee-eater
3302,Merops cyanophrys,PAL,CORACIIFORMES,Meropidae,Arabian Green Bee-eater
3303,Merops orientalis,"PAL, OR",CORACIIFORMES,Meropidae,Mala zelena pčelarica
3304,Merops persicus,PAL,CORACIIFORMES,Meropidae,Velika zelena pčelarica
3305,Merops superciliosus,AF,CORACIIFORMES,Meropidae,Crvenovrata pčelarica
3306,Merops philippinus,"OR, AU",CORACIIFORMES,Meropidae,Plavorepa pčelarica
3307,Merops ornatus,AU,CORACIIFORMES,Meropidae,Dugina pčelarica
3308,Merops viridis,OR,CORACIIFORMES,Meropidae,Plavogrla pčelarica
3309,Merops americanus,OR,CORACIIFORMES,Meropidae,Pčelarica riđeg temena
3310,Merops leschenaulti,OR,CORACIIFORMES,Meropidae,Pčelarica kestenjaste glave
3311,Merops apiaster,"PAL, AF",CORACIIFORMES,Meropidae,Pčelarica
3312,Merops malimbicus,AF,CORACIIFORMES,Meropidae,Rosy Bee-eater
3313,Merops nubicus,AF,CORACIIFORMES,Meropidae,Severna karminska pčelarica
3314,Merops nubicoides,AF,CORACIIFORMES,Meropidae,Južna karminska pčelarica
3315,Galbalcyrhynchus leucotis,SA,PICIFORMES,Galbulidae,Belouha jakamara
3316,Galbalcyrhynchus purusianus,SA,PICIFORMES,Galbulidae,Purus Jacamar
3317,Brachygalba salmoni,"MA, SA",PICIFORMES,Galbulidae,Tamna jakamara
3318,Brachygalba goeringi,SA,PICIFORMES,Galbulidae,Pale-headed Jacamar
3319,Brachygalba lugubris,SA,PICIFORMES,Galbulidae,Smeđa jakamara
3320,Brachygalba albogularis,SA,PICIFORMES,Galbulidae,Belogrla jakamara
3321,Jacamaralcyon tridactyla,SA,PICIFORMES,Galbulidae,Troprsta jakamara
3322,Galbula albirostris,SA,PICIFORMES,Galbulidae,Žutokljuna jakamara
3323,Galbula cyanicollis,SA,PICIFORMES,Galbulidae,Blue-necked Jacamar
3324,Galbula ruficauda,"MA, SA",PICIFORMES,Galbulidae,Riđorepa jakamara
3325,Galbula galbula,SA,PICIFORMES,Galbulidae,Zelenorepa jakamara
3326,Galbula pastazae,SA,PICIFORMES,Galbulidae,Jakamara bakarnih grudi
3327,Galbula tombacea,SA,PICIFORMES,Galbulidae,Belobrada jakamara
3328,Galbula cyanescens,SA,PICIFORMES,Galbulidae,Plavočela jakamara
3329,Galbula chalcothorax,SA,PICIFORMES,Galbulidae,Ljubičasta jakamara
3330,Galbula leucogastra,SA,PICIFORMES,Galbulidae,Bronzana jakamara
3331,Galbula dea,SA,PICIFORMES,Galbulidae,Rajska jakamara
3332,Jacamerops aureus,"MA, SA",PICIFORMES,Galbulidae,Velika jakamara
3333,Notharchus hyperrhynchus,"MA, SA",PICIFORMES,Bucconidae,White-necked Puffbird
3334,Notharchus macrorhynchos,SA,PICIFORMES,Bucconidae,Guianan Puffbird
3335,Notharchus swainsoni,SA,PICIFORMES,Bucconidae,Buff-bellied Puffbird
3336,Notharchus pectoralis,"MA, SA",PICIFORMES,Bucconidae,Crnogrudi puf
3337,Notharchus ordii,SA,PICIFORMES,Bucconidae,Brown-banded Puffbird
3338,Notharchus tectus,"MA, SA",PICIFORMES,Bucconidae,Crno-beli puf
3339,Bucco macrodactylus,SA,PICIFORMES,Bucconidae,Puf sa kestenjastom kapicom
3340,Bucco tamatia,SA,PICIFORMES,Bucconidae,Pegavi puf
3341,Bucco noanamae,SA,PICIFORMES,Bucconidae,Puf sa čađavom kapicom
3342,Bucco capensis,SA,PICIFORMES,Bucconidae,Collared Puffbird
3343,Nystalus radiatus,"MA, SA",PICIFORMES,Bucconidae,Barred Puffbird
3344,Nystalus chacuru,SA,PICIFORMES,Bucconidae,White-eared Puffbird
3345,Nystalus striolatus,SA,PICIFORMES,Bucconidae,Eastern Striolated Puffbird
3346,Nystalus obamai,SA,PICIFORMES,Bucconidae,Western Striolated Puffbird
3347,Nystalus maculatus,SA,PICIFORMES,Bucconidae,Caatinga Puffbird
3348,Nystalus striatipectus,SA,PICIFORMES,Bucconidae,Chaco Puffbird
3349,Hypnelus ruficollis,SA,PICIFORMES,Bucconidae,Russet-throated Puffbird
3350,Hypnelus bicinctus,SA,PICIFORMES,Bucconidae,Two-banded Puffbird
3351,Malacoptila striata,SA,PICIFORMES,Bucconidae,Crescent-chested Puffbird
3352,Malacoptila fusca,SA,PICIFORMES,Bucconidae,White-chested Puffbird
3353,Malacoptila semicincta,SA,PICIFORMES,Bucconidae,Semicollared Puffbird
3354,Malacoptila fulvogularis,SA,PICIFORMES,Bucconidae,Puf sa crnim prugama
3355,Malacoptila rufa,SA,PICIFORMES,Bucconidae,Rufous-necked Puffbird
3356,Malacoptila panamensis,"MA, SA",PICIFORMES,Bucconidae,Puf belih obraza
3357,Malacoptila mystacalis,SA,PICIFORMES,Bucconidae,Maskirani puf
3358,Micromonacha lanceolata,"MA, SA",PICIFORMES,Bucconidae,Lanceolated Monklet
3359,Nonnula rubecula,SA,PICIFORMES,Bucconidae,Nonula puf rđastih grudi
3360,Nonnula sclateri,SA,PICIFORMES,Bucconidae,Nonula puf žućkaste brade
3361,Nonnula brunnea,SA,PICIFORMES,Bucconidae,Brown Nunlet
3362,Nonnula frontalis,"MA, SA",PICIFORMES,Bucconidae,Grey-cheeked Nunlet
3363,Nonnula ruficapilla,SA,PICIFORMES,Bucconidae,Rufous-capped Nunlet
3364,Nonnula amaurocephala,SA,PICIFORMES,Bucconidae,Nonula puf kestenjaste glave
3365,Hapaloptila castanea,SA,PICIFORMES,Bucconidae,White-faced Nunbird
3366,Monasa atra,SA,PICIFORMES,Bucconidae,Crni nona puf
3367,Monasa nigrifrons,SA,PICIFORMES,Bucconidae,Crnočeli nona puf
3368,Monasa morphoeus,"MA, SA",PICIFORMES,Bucconidae,Beločeli nona puf
3369,Monasa flavirostris,SA,PICIFORMES,Bucconidae,Žutokljuni nona puf
3370,Chelidoptera tenebrosa,SA,PICIFORMES,Bucconidae,Swallow-winged Puffbird
3371,Capito aurovirens,SA,PICIFORMES,Capitonidae,Scarlet-crowned Barbet
3372,Capito wallacei,SA,PICIFORMES,Capitonidae,Scarlet-banded Barbet
3373,Capito fitzpatricki,SA,PICIFORMES,Capitonidae,Sira Barbet
3374,Capito maculicoronatus,"MA, SA",PICIFORMES,Capitonidae,Spot-crowned Barbet
3375,Capito squamatus,SA,PICIFORMES,Capitonidae,Orange-fronted Barbet
3376,Capito hypoleucus,SA,PICIFORMES,Capitonidae,White-mantled Barbet
3377,Capito dayi,SA,PICIFORMES,Capitonidae,Black-girdled Barbet
3378,Capito brunneipectus,SA,PICIFORMES,Capitonidae,Američki smeđogrudi barbet
3379,Capito niger,SA,PICIFORMES,Capitonidae,Barbet sa crnim pegama
3380,Capito auratus,SA,PICIFORMES,Capitonidae,Gilded Barbet
3381,Capito quinticolor,SA,PICIFORMES,Capitonidae,Petobojni barbet
3382,Eubucco richardsoni,SA,PICIFORMES,Capitonidae,Lemon-throated Barbet
3383,Eubucco bourcierii,"MA, SA",PICIFORMES,Capitonidae,Red-headed Barbet
3384,Eubucco tucinkae,SA,PICIFORMES,Capitonidae,Scarlet-hooded Barbet
3385,Eubucco versicolor,SA,PICIFORMES,Capitonidae,Versicolored Barbet
3386,Semnornis frantzii,MA,PICIFORMES,Semnornithidae,Prong-billed Barbet
3387,Semnornis ramphastinus,SA,PICIFORMES,Semnornithidae,Toucan Barbet
3388,Aulacorhynchus wagleri,MA,PICIFORMES,Ramphastidae,Wagler's Toucanet
3389,Aulacorhynchus prasinus,MA,PICIFORMES,Ramphastidae,Severni smaragdni tukanet
3390,Aulacorhynchus caeruleogularis,"MA, SA",PICIFORMES,Ramphastidae,Blue-throated Toucanet
3391,Aulacorhynchus albivitta,SA,PICIFORMES,Ramphastidae,Južni smaragdni tukanet
3392,Aulacorhynchus atrogularis,SA,PICIFORMES,Ramphastidae,Black-throated Toucanet
3393,Aulacorhynchus sulcatus,SA,PICIFORMES,Ramphastidae,Groove-billed Toucanet
3394,Aulacorhynchus derbianus,SA,PICIFORMES,Ramphastidae,Chestnut-tipped Toucanet
3395,Aulacorhynchus whitelianus,SA,PICIFORMES,Ramphastidae,Tukanet iz Tepuija
3396,Aulacorhynchus haematopygus,SA,PICIFORMES,Ramphastidae,Crimson-rumped Toucanet
3397,Aulacorhynchus huallagae,SA,PICIFORMES,Ramphastidae,Yellow-browed Toucanet
3398,Aulacorhynchus coeruleicinctis,SA,PICIFORMES,Ramphastidae,Blue-banded Toucanet
3399,Pteroglossus viridis,SA,PICIFORMES,Ramphastidae,Zeleni arakari
3400,Pteroglossus inscriptus,SA,PICIFORMES,Ramphastidae,Lettered Aracari
3401,Pteroglossus bitorquatus,SA,PICIFORMES,Ramphastidae,Crvenovrati arakari
3402,Pteroglossus azara,SA,PICIFORMES,Ramphastidae,Ivory-billed Aracari
3403,Pteroglossus mariae,SA,PICIFORMES,Ramphastidae,Brown-mandibled Aracari
3404,Pteroglossus aracari,SA,PICIFORMES,Ramphastidae,Black-necked Aracari
3405,Pteroglossus castanotis,SA,PICIFORMES,Ramphastidae,Chestnut-eared Aracari
3406,Pteroglossus pluricinctus,SA,PICIFORMES,Ramphastidae,Many-banded Aracari
3407,Pteroglossus torquatus,"MA, SA",PICIFORMES,Ramphastidae,Ogrličasti arakari
3408,Pteroglossus sanguineus,SA,PICIFORMES,Ramphastidae,Stripe-billed Aracari
3409,Pteroglossus erythropygius,SA,PICIFORMES,Ramphastidae,Pale-mandibled Aracari
3410,Pteroglossus frantzii,MA,PICIFORMES,Ramphastidae,Fiery-billed Aracari
3411,Pteroglossus beauharnaisii,SA,PICIFORMES,Ramphastidae,Kovrdžavi arakari
3412,Pteroglossus bailloni,SA,PICIFORMES,Ramphastidae,Saffron Toucanet
3413,Selenidera spectabilis,"MA, SA",PICIFORMES,Ramphastidae,Yellow-eared Toucanet
3414,Selenidera piperivora,SA,PICIFORMES,Ramphastidae,Guianan Toucanet
3415,Selenidera reinwardtii,SA,PICIFORMES,Ramphastidae,Golden-collared Toucanet
3416,Selenidera nattereri,SA,PICIFORMES,Ramphastidae,Tawny-tufted Toucanet
3417,Selenidera gouldii,SA,PICIFORMES,Ramphastidae,Guldov tukanet
3418,Selenidera maculirostris,SA,PICIFORMES,Ramphastidae,Spot-billed Toucanet
3419,Andigena hypoglauca,SA,PICIFORMES,Ramphastidae,Sivogrudi planinski tukan
3420,Andigena laminirostris,SA,PICIFORMES,Ramphastidae,Plate-billed Mountain Toucan
3421,Andigena cucullata,SA,PICIFORMES,Ramphastidae,Hooded Mountain Toucan
3422,Andigena nigrirostris,SA,PICIFORMES,Ramphastidae,Black-billed Mountain Toucan
3423,Ramphastos dicolorus,SA,PICIFORMES,Ramphastidae,Crvenogrudi tukan
3424,Ramphastos vitellinus,SA,PICIFORMES,Ramphastidae,Kreštavi tukan
3425,Ramphastos citreolaemus,SA,PICIFORMES,Ramphastidae,Citron-throated Toucan
3426,Ramphastos brevis,SA,PICIFORMES,Ramphastidae,Čoko tukan
3427,Ramphastos sulfuratus,"MA, SA",PICIFORMES,Ramphastidae,Sumporasti tukan
